Left,p,c,d,n,right,new,min_mod,particles,spelling_mistake,sskrt,verb,?,empty,double,profile,ngram_freq,file name,note_num
ཞེས་པ་འདི་རྣམས་ནི་བཞི་པའོ། །འབྱུང་ཁུངས་,ལས་,ལ་,ལ་,ལས་,ལྔ་པའོ་ཞེས་པ་ལྔ་པའི་རྣམ་དབྱེ་ཡིན་ནོ,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,12
། །ངི་ཤཱི་དག་གི་ཡང་ནའོ། །མ་ནིང་,ལས་,ལ་,ལ་,ལས་,ཡང་ན་ཞེས་པའི་ཕྱོགས་ལན་དབྱིའོ། །རྣམ་པར་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965); p ལས(5885); d ལ(33965); n ལས(5885); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,733
། །དང་པོ་དག་གི་ཨཏ་ལའོ། །ཨ་མ་,ལས་,ལ་,ལ་,ལས་,སྔ་མའོ། །ཊཱ་ལ་ཨཔའིའོ། །ཨེཙའི་ཨཡ་ཨཝ་ཨཱ་ཡ་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), མ་ལ(418), ལ་སྔ་མ(49); p ལས(5885), མ་ལས(739); d ལ(33965), མ་ལ(418), ལ་སྔ་མ(49); n ལས(5885), མ་ལས(739); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,810
མ་བཞིན་ནོ། །སཪྺི་ཀཱཿ། སཪྺི་ཀེ །སཪྺི་ཀཱཿ། མ་ནིང་ལ་སཪྺ་ཀཾ །སཪྺ་ཀེ །སཪྺ་། གཉིས་པ་ལའང་,དེ་ལྟར་,དེ་ལྟར་,དེ་ལྟར་,འདི་ལྟར་,རོ། །ཊཱ་ལ་སོགས་པ་ལས་སྐྱེས་པ་བཞིན་,K,g,,,,,,,,c=p=d n 8.17%,c དེ་ལྟར(32495); p དེ་ལྟར(32495); d དེ་ལྟར(32495); n འདི་ལྟར(49); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,832
ཨེངའོ། །དང་པོ་དག་གི་ཨཙ་ལའོ། །ཨམ་,ལས་,ལ་,ལ་,ལས་,སྔ་མའོ། །ཨཱ་པའི་ཊཱ་ལའང་ངོ་། །ཨེཙའི་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), ལ་སྔ་མ(49); p ལས(5885); d ལ(33965), ལ་སྔ་མ(49); n ལས(5885); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,916
ཨེངའོ། །དང་པོ་དག་གི་ཨཙ་ལའོ། །ཨམ་,ལས་,ལ་,ལ་,ལས་,སྔ་། །ཌཱ་ལའང་ཨཱཔའིའོ། །ཨེཙའི་ཨཡ་ཨཝ་ཨཱཡ་ཨཱཝའོ། །སྨཻ་,K,g,,,,,,,,c=d p=n 85.20%,c ལ(33965), ལ་སྔ་མ(49); p ལས(5885); d ལ(33965), ལ་སྔ་མ(49); n ལས(5885); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,992
། །ཥ་ཥ་ཞེས་པ་འདིའོ། ཥན་ལས་གྲངས་,ལ་,ལས་,ལས་,ལ་,དབྱིའོ། །རྫོགས་པ་ལ་ཡང་ནའོ་ཞེས་པ་ཊ་,K,g,,,,,,,,c=d p=n 85.20%,c ལས(5885), གྲངས་ལས(53); p ལ(33965), གྲངས་ལ(64); d ལས(5885), གྲངས་ལས(53); n ལ(33965), གྲངས་ལ(64); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,1028
རྣམ་པར་གཅད་པའོ། །དང་པོ་དག་གི་ཨཙ་ལའོ་,ཞེས་པ་,ཞེས་པ ས་,ཞེས་པ ས་,ཞེས་པ་,རིང་པོ་ཉིད་དོ། །ཛས་ལའོ་ཞེས་པ་ཨེ་,K,p,,,,,,,,c=d p=n 85.20%,c ཞེས་པས(130); p ཞེས་པ(107); d ཞེས་པས(130); n ཞེས་པ(107); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,149
ཉིད་དོ། །སུའི་སུ་དབྱིའོ། །བརྩེགས་པའི་ཚིག་,གོ འོ་,གི འོ་,གི འོ་,གོ འོ་,ཞེས་པ་ཏ་ཡིག་དབྱིའོ། །ཛྷལ་མཐའ་མ་ཡིན་,K,p,,,,,,,,c=d p=n 85.20%,c གིའོ(16); p གོའོ(11); d གིའོ(16); n གོའོ(11); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,321
། །ཀུ་ལས་ཀྱང་ཞེས་པ་ལ་སོགས་པ་རྣམས་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ཥ་ཉིད་དོ། །བ་སུ་སྤམ་སུ་དྷྭས་རྣམས་ཀྱི་སའིའོ་,K,p,,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), རྣམས་ཀྱི(571); p ཀྱིས(6156), རྣམས་ཀྱིས(952); d ཀྱི(5256), རྣམས་ཀྱི(571); n ཀྱིས(6156), རྣམས་ཀྱིས(952); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,359
། །བ་སུ་སྤམ་སུ་དྷྭས་རྣམས་ཀྱི་སའིའོ་ཞེས་པས་ཡིག་,,གི་,གི་,,ད་ཡིག་གོ། །ཨཙ་མ་ཡིན་པ་ལ་ཞེས་,K,p,,,,,,,,c=d p=n 85.20%,c གི(1276), ཡིག་གི(62); p (1), ད(194), ཡིག(11); d གི(1276), ཡིག་གི(62); n (1), ད(194), ཡིག(11); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,361
གི་ཌ་ཡིག་གོ། །ཀྭིནའིའོ་ཞེས་པ་ཀུ་ཉིད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ག་ཡིག་གོ། །རྫོགས་པ་ལ་ཡང་ནའོ་ཞེས་,K,p,,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), ཉིད་ཀྱི(171); p ཀྱིས(6156), ཉིད་ཀྱིས(603); d ཀྱི(5256), ཉིད་ཀྱི(171); n ཀྱིས(6156), ཉིད་ཀྱིས(603); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,504
ཀྱང་། དཱི་ཨཱཔ་དག་གི་རིང་པོ་ལས་སོ་,ཞེས་པ་,ཞེས་པ ས་,ཞེས་པ ས་,ཞེས་པ་,སུ་དབྱིའོ། །ཨཱཔ་ལས་ཨཽཏའི་ཤཱིའོ་ཞེས་པ་ཤཱི་,K,p,,,,,,,,c=d p=n 85.20%,c ཞེས་པས(130); p ཞེས་པ(107), སོ་ཞེས་པ(113); d ཞེས་པས(130); n ཞེས་པ(107), སོ་ཞེས་པ(113); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,524
ཞེས་པ་ཡཱཊའོ། །ཨེཙ་ལའོ་ཞེས་པ་ཨཻ་ཉིད་,ཉིད །།_།།,ཉིད་ དོ །_།,ཉིད་ དོ །_།,ཉིད །།_།།,ཨཀའི་རིང་པོ་ཨཀ་ལའོ། །ཐུང་ངུ་ཨཱཔ་ལས་,K,p,,,,,,,,c=d p=n 85.20%,c ཉིད་དོ།_།(3354); p ; d ཉིད་དོ།_།(3354); n ; ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,526
དང་པོ་ཅན་རྣམས་ལ་ཨཱཏའིའོ་ཞེས་པ་ཨཱ་ཡིག་,,གི་,གི་,,དབྱིའོ། །རྣམ་པར་གཅད་པའོ། །ཀཱི་ལཱ་ལ་པཿ,K,p,,,,,,,,c=d p=n 85.20%,c གི(1276), ཡིག་གི(62); p (1), ཡིག(11), དབྱི(2); d གི(1276), ཡིག་གི(62); n (1), ཡིག(11), དབྱི(2); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,590
གོ། །ཛྷླའི་ཛ་ཤ་ཞེས་པ་ཛ་ཤ་ཉིད་,ཀྱིས་,ཀྱི་,ཀྱི་,ཀྱིས་,ག་ཡིག་གོ། །རྫོགས་པ་ལ་ཡང་ནའོ་ཞེས་,K,p,,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), ཉིད་ཀྱི(171); p ཀྱིས(6156), ཉིད་ཀྱིས(603); d ཀྱི(5256), ཉིད་ཀྱི(171); n ཀྱིས(6156), ཉིད་ཀྱིས(603); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,650
། །གསུམ་པ་ལ་སོགས་པ་ལ་སྐྱེས་པ་དང་,མཚུངས་ སོ,མཚུངས་ སོ,མཚུངས་ སོ,མཚུངས,། །ཨི་དཾ། ཨི་མེ། ཨི་མཱ་ནི,K,p,,,,,,,,c=p=d n 8.17%,c མཚུངས་སོ(248), དང་མཚུངས་སོ(206), མཚུངས་སོ།_།(247), དང་མཚུངས་སོ།_།(205); p མཚུངས་སོ(248), དང་མཚུངས་སོ(206), མཚུངས་སོ།_།(247), དང་མཚུངས་སོ།_།(205); d མཚུངས་སོ(248), དང་མཚུངས་སོ(206), མཚུངས་སོ།_།(247), དང་མཚུངས་སོ།_།(205); n མཚུངས(436), མཚུངས།_།(390), དང་མཚུངས(234), དང་མཚུངས།_།(206); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,1001
། བཞི་པར་གྲངས་མེད་ལས་སུ་པའི་འཇིག་གོ་,ཞེས་པ ས་,ཞེས་པ་,ཞེས་པ་,ཞེས་པ ས་,སུ་དབྱིའོ། །ཡང་བྱིངས་དི་ཝ་སོགས་སུ་པད་,K,p,,,,,,,,c=d p=n 85.20%,c ཞེས་པ(107); p ཞེས་པས(130); d ཞེས་པ(107); n ཞེས་པས(130); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,1097
སུཊ་ཅེས་པ་སོ་སོར་བརྗོད་པ་བཟུང་བའི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །ཤས྄་ཀྱི་ཤ་ཡིག་ལས་ཨ་ཡིག་ཕྱུང་སྟེ,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,30
ཨི་ན་སྱ་དག་གོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །དེ་ཡིག་ལ་ཨེ་ཡིག་བཞག་སྟེ། ང་,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485), དོན་ཏོ།_།དེ(56); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485), དོན་ཏོ།_།དེ(56); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,33
ངོ་ཞེས་པ་ཨཽ་ཉིད་དོ། །ཨེ་ཡིག་གི་,འང་,ཡང་,ཡང་,འང་,ཨ་ཡི་གོ། །ཨེཙ་ལའོ། །ཀུན་ལས་ཀྱང་,K,,✘,,,,,,,c=d p=n 85.20%,c ཡང(82), གི་ཡང(341); p འང(542); d ཡང(82), གི་ཡང(341); n འང(542); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,110
ཐུང་ངུ་ཨཱཔ་ལས་ནུཊའོ། །ཨུ་ཡིག་ནི་བརྗོད་པའི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །ཊ་ཡིག་ནི་ཊ་ཀིཏ་དག་དང་པོ་ཐ་,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,204
གི་རུའོ། །ཨུ་ཡིག་ནི་ཧ་ཤ་ལའང་ཨས་,,ལས་,ལས་,,རུའིའོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་ཏོ། །རྣམ་པར་,K,,✘,,,,,,,c=d p=n 85.20%,c ལས(5885), ས་ལས(518); p (1), ས(542), རུ(1952), ས་རུ(59); d ལས(5885), ས་ལས(518); n (1), ས(542), རུ(1952), ས་རུ(59); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,692
ཨཀཙ་འབྱུང་ངོ་། །ཙ་ཡིག་ནི་དབྱངས་ཀྱི་དོན་,ནོ,ཏོ,ཏོ,ནོ,། །ཨ་ཡིག་ནི་བརྗོད་པའི་དོན་ཏོ། །སཪྺ་ཀ་ཞེས་,K,,✘,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ནོ(4158), ནོ།_།(37154), དོན་ནོ(106), དོན་ནོ།_།(106); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,825
པོའི་ཚིག་གི་ཡུལ་ཉིད་ལས་མང་པོའི་ཚིག་གི་,,དེ་,དེ་,,ངེས་པའོ། །ཨེ་ཀེ། ཨེ་ཀན། ཨེ་,K,,✘,,,,,,,c=d p=n 85.20%,c དེ(1), གི་དེ(547); p (1), གི(1276), ངེས་པ(65); d དེ(1), གི་དེ(547); n (1), གི(1276), ངེས་པ(65); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,1006
པ་འདིའོ། །ཀི་མའི་ཀའོ་ཞེས་པ་ཀ་ཡིག་དག་,རུ་,ཏུ་,ཏུ་,རུ་,བསྒྱུར་རོ། །ལྷག་མ་རྣམས་སརྦ་བཞིན་ནོ། །,K,,✘,,,,,,,c=d p=n 85.20%,c ཏུ(1863), དག་ཏུ(577); p རུ(1952); d ཏུ(1863), དག་ཏུ(577); n རུ(1952); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,1072
ཡིན་ནོ། །དེའི་སྔོན་དུ་ཉེ་བསྒྱུར་པྲ་ཏི་,ཏེ,སྟེ,སྟེ,ཏེ,། དེ་ལ་རྣམ་དབྱེ་གང་སྦྱར་ཡང་མི་ཟད་,K,,✘,,,,,,,c=d p=n 85.20%,c སྟེ(27897), སྟེ།_(72386); p ཏེ(80365), ཏེ།_(76922); d སྟེ(27897), སྟེ།_(72386); n ཏེ(80365), ཏེ།_(76922); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,1089
འདི་རྣམས་ནི་དྲུག་པའོ། །བཞི་ལ་བདུན་པའོ་,ཞེས་,ཞེས་པ་,ཞེས་པ་,ཞེས་,བདུན་པའི་རྣམ་དབྱེ་ཡིན་ནོ། །བདུན་པའང་ཅི་,K,,པ་བ་,,,,s,,,c=d p=n 85.20%,c ཞེས་པ(107); p ཞེས(1047); d ཞེས་པ(107); n ཞེས(1047); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,19
ལས་ཀྱང་ཞེས་པ་ཥ་ཉིད་དོ། །ཀུན་དུ་,བོད་,བོད་པ་,བོད་པ་,བོད་,ལ་མིཏ་ཨུཏ་དག་གི་ཨེངའོ། །ཨེང་ཐུང་ངུ་ཨཏ་ལས་,K,,པ་བ་,,,,s,,,c=d p=n 85.20%,c ; p བོད(11); d ; n བོད(11); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,137
། ཧེ་བི་དྭཱནྶཽ། ཧེ་བི་དྭཱནྶཿ། ཏསྠི་ཝས་,ཞེས་,ཞེས་པ་,ཞེས་པ་,ཞེས་,འདིའི་སྐྱེས་པའི་སུཊ་ལ་ཨུཀ་ཏིའིའོ་ཞེས་པ་ནུམའོ། །ཀུན་དུ་,K,,པ་བ་,,,,s,,,c=d p=n 85.20%,c ཞེས་པ(107), ཞེས་པ་འདི(52); p ཞེས(1047), ས་ཞེས(165), ཞེས་འདི(47); d ཞེས་པ(107), ཞེས་པ་འདི(52); n ཞེས(1047), ས་ཞེས(165), ཞེས་འདི(47); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,372
ཡིག་གི་ཨུ་ཉིད་དོ། །ཨ་ལས་ཨཏ་ཨེངའོ་,ཞེས་,ཞེས་པ་,ཞེས་པ་,ཞེས་,ཨོ་ཉིད་དོ། །ཤར་ལའམ་ཞེས་པར་ཡིག་གི་,K,,པ་བ་,,,,s,,,c=d p=n 85.20%,c ཞེས་པ(107); p ཞེས(1047); d ཞེས་པ(107); n ཞེས(1047); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,759
ཚིག་བྷྱཱས྄་ཞེས་པ་འདི་རྣམས་ནི་ལྔ་པའོ། །,འབྲེལ་ ལས་,འབྲེལ་བ་,འབྲེལ་བ་,འབྲེལ་ ལས་,དྲུག་པ་ལའོ་ཞེས་དྲུག་པའི་རྣམ་དབྱེ་ཡིན་ནོ,K,,≠,,,,,,,c=d p=n 85.20%,c འབྲེལ་བ(320); p ; d འབྲེལ་བ(320); n ; ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,15
། ཨུ་ཡིག་ནི་སུའིའོ་ཞེས་པའི་རྟགས་ཀྱི་དོན་,ཏེ,ཏོ,ཏོ,ཏེ,། །དང་པོའི་མང་པོའི་ཚིག་ཛས྄་ཀྱི་ཛ་ཡིག་,K,,≠,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p ཏེ(80365), ཏེ།_།(12767), དོན་ཏེ(41); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n ཏེ(80365), ཏེ།_།(12767), དོན་ཏེ(41); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,27
སྔོན་དུ་རུཊའོ། །ཨུ་ཡིག་ནི་བརྗོད་པའི་དོན་,དུ,ཏོ,ཏོ,དུ,། །ཊ་ཡིག་ནི་ཊ་ཀིཏ་དག་དང་པོ་ཐ་མ་,K,,≠,,,,,,,c=d p=n 85.20%,c ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); p དུ(11516), དུ།_།(5210), དོན་དུ(4790), དོན་དུ།_།(228); d ཏོ(2171), ཏོ།_།(34598), དོན་ཏོ(490), དོན་ཏོ།_།(485); n དུ(11516), དུ།_།(5210), དོན་དུ(4790), དོན་དུ།_།(228); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,80
པ་མ་ཡིན་པའི་སུ་ལའོ་ཞེས་པའི་རིང་པོ་ཉིད་,དོ,དོ,དོ,དེ,། །སུའིའོ་སུ་དབྱིའོ། །སུཔའི་རང་བཞིན་གྱི་ཞེས་,K,,≠,,,,,,,c=p=d n 8.17%,c དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); p དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); d དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); n དེ(1), དེ།_།(4260), ཉིད་དེ(1248), ཉིད་དེ།_།(405); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,124
ལས་ཀྱང་། སྔ་མ་བཞིན་དུ་སུའི་རུ་ཉིད་,དེ,དོ,དོ,དེ,།།རྣམ་པར་གཅད་པའོ། །དང་པོ་དག་གི་ཨཙ་,K,,≠,,,,,,,c=d p=n 85.20%,c དོ(6551), ཉིད་དོ(3385); p དེ(1), ཉིད་དེ(1248); d དོ(6551), ཉིད་དོ(3385); n དེ(1), ཉིད་དེ(1248); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,146
། །ཀུ་ལས་ཀྱང་ཞེས་པ་ལ་སོགས་པ་རྣམས་,ཀྱང་,ཀྱི་,ཀྱི་,ཀྱང་,ཥ་ཉིད་དོ། །ཀུན་དུ་བོད་པ་མ་ཡིན་པ་ལའོ,K,,≠,,,,,,,c=d p=n 85.20%,c ཀྱི(5256), རྣམས་ཀྱི(571); p ཀྱང(95), རྣམས་ཀྱང(6429); d ཀྱི(5256), རྣམས་ཀྱི(571); n ཀྱང(95), རྣམས་ཀྱང(6429); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,282
ཨ་ཏུ་ཨ་སེ་དག་གིའོ་ཞེས་པ་རིང་པོ་ཉིད་,དུ,དོ,དོ,དུ,། །སུའི་སུ་དབྱིའོ། །བརྩེགས་པའི་ཚིག་གིའོ་ཞེས་,K,,≠,,,,,,,c=d p=n 85.20%,c དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); p དུ(11516), དུ།_།(5210), ཉིད་དུ(10830), ཉིད་དུ།_།(257); d དོ(6551), དོ།_།(77780), ཉིད་དོ(3385), ཉིད་དོ།_།(3354); n དུ(11516), དུ།_།(5210), ཉིད་དུ(10830), ཉིད་དུ།_།(257); ,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།,320
