ID,serial number,class,function,function first,function end,code,number,Taisho,koreana,folio code,author,Indian translator,Tibetan translator,calibration,Chinese translation,Sanskrit title,Title romanisation,Tibetan title,Dazheng holding,Barry holding,Nanjo,Other,PDF,WEB_PDF,WEB_HTML,Remarks
11,23,般若部,通帙第31Ga-32Ṅa,31,32,11,11,,,1b1-397a7,,Jinamitra、Prajñāvarman,Ye-śes sde,,聖般若波羅蜜多一萬八千頌大乘經,Ārya-daśasāhasrikā-prajñāpāramitā-nāma-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa khri-pa shes-bya-ba theg-pa chen-po-mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཁྲི་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོ་མདོ,,,,,,,,
12,24,般若部,通帙第33Ka,33,33,12,12,228,1423,1b1-286a6,,Śākyasena、Jñānasiddhi,Dharmatāśīla,,聖般若波羅蜜多八千（頌）,Ārya-aṣṭasāhasrikā-prajñāpāramitā,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བརྒྱད་སྟོང་པ,"220(4)或(5),224,225,226,228,229 cf.",,"1,5,7,8,864 cf.,927",,KD0012I,KD0012I,KD0012I,
13,30,般若部,通帙第34Ka,34,34,13,13,229,1200,1b1-19b7,,Vidyākarasiṃha,Dpal-brtsegs,,聖般若波羅蜜多攝要頌,Ārya- prajñāpāramitā-sañcayagāthā,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa sdud-pa tshig-su-bcad-pa,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྡུད་པ་ཚིག་སུ་བཅད་པ,"220(4)或(5) cf.,229",,"1 cf.,864",,,,,
14,32,般若部,通帙第34Ka,34,34,14,14,231,8,20a1-103b7,,Śīlendrabodhi、Jinamitra,Ye-śes sde,,聖因善勇猛所問說般若波羅蜜多,Ārya-suvikrāntavikrami-paripṛcchā- prajñāpāramitā-nirdeśa,Ḥphags-pa rab-kyi-rtsal-gyis rnam-par-gnon-pas shus-pa śes-rab-kyi-pha-rol-tu-phyin-pa bstan-pa,འཕགས་པ་རབ་ཀྱི་རྩལ་གྱིས་རྣམ་པར་གནོན་པས་ཞུས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བསྟན་པ,220(16),,1,,,,,
15,33,般若部,通帙第34Ka,34,34,15,15,260,1485,10a1-120b7,,Śīlendrabodhi、Jinamitra,Ye-śes sde,,聖般若波羅蜜多五百（頌）,Ārya-pañcaśatikā- prajñāpāramitā,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa lṅa-brgya-pa,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བརྒྱ་པ,260,,,,,,,
16,34,般若部,通帙第34Ka,34,34,16,16,235,13,121a1-132b7,,Śīlendrabodhi,Ye-śes sde,,聖般若波羅蜜多金剛能斷大乘經,Ārya-vajracchedikā-nāma-prajñāpāramitā-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་གཅོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"220(9),235,236A,236B,237,238,239",,"1,10,11,12,15,13,14",,KD0016N,"KD0016N,KX0016I","KD0016N,KX0016I",
17,40,般若部,通帙第34Ka,34,34,17,17,0220-10,1,133a1-139b6,,,,,聖般若波羅蜜多趣百五十（頌）,Ārya-prajñāpāramitā-naya-śatapañcāśatikā,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-paḥi tshul brgya-lṅa-bcu-pa,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཚུལ་བརྒྱ་ལྔ་བཅུ་པ,"220(10),240,241,242,243,244",,"1,18,1033,862,1034,1037",,,,,
18,46,般若部,通帙第34Ka,34,34,18,18,248,1192,139b6-142a4,,,,,聖薄伽梵母般若波羅多五十頌（頌）,Ārya-bhagavatī-prajñāpāramitā-pañcaśā-tikā,Ḥphags-pa bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-pa lṅa-bcu-pa,འཕགས་པ་བཅོམ་ལྡན་ལྡས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བཅུ་པ,248,,879,,,,,
19,47,般若部,通帙第34Ka,34,34,19,19,,,142a4-143b5,,,,,聖帝釋般若波羅蜜多（經）,Ārya-kauśika-prajñāpāramitā-nāma,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa kauśika shes-bya-ba,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་གོོ་ཤི་ཀ་ཞེས་བྱ་བ,249,,865,,,,,
20,48,般若部,通帙第34Ka,34,34,20,20,,,143b5-144b6,,,,,聖般若波羅蜜多二十五門大乘經,Ārya-pañcaviṃśatika-prajñāpāramitāmukha-nāma-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-paḥi sgo ñi-śu-rtsa-lṅa-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒོ་ཉི་ཤུ་རྩ་ལྔ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,,,,,,,,
21,49,般若部,通帙第34Ka,34,34,21,21,257,1427,144b4-146a3,,Vimalamitra,Rin-chen sde,Dge-blo、Nam-mkhaḥ,薄伽梵母般若波羅蜜多心（經）,Bhagavatī-prajñāpāramitā-hṛdaya,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po,བཅོམ་ལྡན་འདས་མ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོ,"250,251,252,253,254,255,256 cf.,257",,"19,20,935",,KL0021M,KL0021M,KL0021M,
22,57,般若部,通帙第34Ka,34,34,22,22,,,146a3-146b3,,,,,聖般若波羅蜜多少字大乘經,Ārya-svalpākṣara-prajñāpāramitā-nāma-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa yi-ge ñuṅ-ṅu shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡི་གེ་ཉུང་ངུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,258,,797,,,,,
23,58,般若部,通帙第34Ka,34,34,23,23,,,147b3-147b7,,,,,一切如來母般若波羅蜜多一字母（經）,Ekākṣarīmātā-nāma-sarvatathāgata prajñāpāramitā,De-bshin-gśegs-pa thams-cad-kyi yum śes-rab kyi-pha-rol-tu-phyin-ma yi-ge gcig-ma shes-bya-ba,དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་ཡུམ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མ་ཡི་གེ་གཅིག་མ་ཞེས་བྱ་བ,,,,,,,,
24,59,般若部,通帙第34Ka,34,34,24,24,232,10,148a1-174a2,,,,,聖般若波羅多七百（頌）大乘經,Ārya-saptaśatikā-nāma-prajñāpāramitā-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བདུན་བརྒྱ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"220(7),310(46)",,"1,23",,,,,
25,61,般若部,通帙第34Ka,34,34,25,25,,,174a2-175b3,,,,,聖般若波羅蜜多一百八名（經）,Ārya-prajñāpāramitānāmāṣṭāśataka,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-paḥi mtshan brgya-rtsa-brgyad-pa shes-bya-ba,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མཚན་བརྒྱ་རྩ་བརྒྱད་པ་ཞེས་བྱ་བ,230,,999,,,,,
26,62,般若部,通帙第34Ka,34,34,26,26,,,175b3-176b6,,,,,聖般若波羅蜜多日藏大乘經,Ārya-prajñāpāramitā-sūryagarbha-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-paḥi ñi-maḥi-sñiṅ-po theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཉི་མའི་སྙིང་པོ་ཐེག་པ་ཆེན་པོའི་མདོ,,,,,,,,
27,63,般若部,通帙第34Ka,34,34,27,27,,,176b6-177b6,,,,,聖月藏般若波羅蜜多大乘經,Ārya-candragarbha-prajñāpāramitā-mahāyānasūtra,Ḥphags-pa zla-baḥi-sñiṅ-po śes-rab-kyi-pha-rol-tu-phyin-pa theg-pa chen-poḥi mdo,འཕགས་པ་ཟླ་བའི་སྙིང་པོ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐེག་པ་ཆེན་པོའི་མདོ,,,,,,,,
28,64,般若部,通帙第34Ka,34,34,28,28,,,177b6-178a6,,,,,聖般若波羅蜜多普賢大乘經,Ārya-prajñāpāramitā-samantabhadra-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa kun-tu-bzaṅ-po theg-pa chen-poḥi mdo,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཀུན་ཏུ་བཟང་པོ་ཐེག་པ་ཆེན་པོའི་མདོ,,,,,,,,
29,65,般若部,通帙第34Ka,34,34,29,29,,,178a4-178b6,,,,,聖般若波羅蜜多金剛手大乘經,Ārya-prajñāpāramitā-vajrapāṇi-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa lag-na-rdo-rjeḥi mdo theg-pa chen-po,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལག་ན་རྡོ་རྗེའི་མདོ་ཐེག་པ་ཆེན་པོ,,,,,,,,
30,66,般若部,通帙第34Ka,34,34,30,30,,,178b6-179a7,,,,,聖般若波羅蜜多金剛幢大乘經,Ārya-prajñāpāramitā-vajraketu-mahāyānasūtra,Ḥphags-pa śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje rgyal-mtshan-gyi mdo theg-pa chen-po,འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྡོ་རྗེ་རྒྱལ་མཚན་གྱི་མདོ་ཐེག་པ་ཆེན་པོ,,,,,,,,
31,67,般若部,通帙第34Ka,34,34,31,31,,,180b1-183a7,,Ānandaśrī,Ñi-ma rgyal-mtshan,,轉法輪經,Dharmacakrapravartana-sūtra,Chos-kyi-ḥkhor-lo rab-tu bskor-baḥi mdo,ཆོས་ཀྱི་འཁོར་ལོ་རབ་ཏུ་བསྐོར་བའི་མདོ,"99(379),109,110",S.56.11、12,"544,657,658",,,,,
32,70,般若部,通帙第34Ka,34,34,32,32,,,183a7-250a5,,Ānandaśrī,Ñi-ma rgyal-mtshan,,本生緣經,Jātakanidāna,Skyes-pa rabs-kyi gleṅ-gshi,སྐྱེས་པ་རབས་ཀྱི་གླེང་བཞི,,,,,,,,
33,71,般若部,通帙第34Ka,34,34,33,33,1245,1185,250a5-259b4,,Ānandaśrī,Ñi-ma rgyal-mtshan,,柳葉宮殿經,Āṭānāṭiya-sūtra,Lcaṅ-lo-can-gyi pho-braṅ-gi mdo,ལྕང་ལོ་ཅན་གྱི་ཕོ་བྲང་གི་མདོ,"1244,1245",D.32,"849,974",,,,,"西藏目錄原本為大正1245,南條974. Lancaster將大正1244,1245皆對應至此經,且大正1244=南條974,大正1245=南條849,故暫時全部記錄. 實際上查證為大正1245比較接近西藏版此經."
34,72,般若部,通帙第34Ka,34,34,34,34,19,1179,259b4-263a4,,Ānandaśrī,Ñi-ma rgyal-mtshan,,大會經,Mahāsamaya-sūtra,Ḥdus-pa chen-poḥi mdo,འདུས་པ་ཆེན་པོའི་མདོ,"1(19),19,99(1192),100(105)",D.20,"545,851,544,546",,,,,
35,76,般若部,通帙第34Ka,34,34,35,35,,,263a4-270a1,,Ānandaśrī,Ñi-ma rgyal-mtshan,,慈經,Maitrī-sūtra,Byams-paḥi mdo,བྱམས་པའི་མདོ,,V.1.2,,,,,,
36,77,般若部,通帙第34Ka,34,34,36,36,125,649,270a1-270b7,,Ānandaśrī,Ñi-ma rgyal-mtshan,,慈觀經,Maitrī-bhāvanā-sūtra,Byams-pa bsgom-paḥi mdo,བྱམས་པ་བསྒོམ་པའི་མདོ,125(49、10)cf.,A.11.16,543,,,,,
37,78,般若部,通帙第34Ka,34,34,37,37,,,271a1-276a5,,Ānandaśrī,Ñi-ma rgyal-mtshan,,五學利益經,Pañcaśikṣānuśaṃśā-sūtra,Bslab-pa lṅaḥi phan-yon-gyi mdo,བསླབ་པ་ལྔའི་ཕན་ཡོན་གྱི་མདོ,,,,,,,,
38,79,般若部,通帙第34Ka,34,34,38,38,,,276a5-279a2,,Ānandaśrī,Ñi-ma rgyal-mtshan,,山阿難陀經,Girī-ānada-sūtra,Riḥi kun-dgaḥ-boḥi mdo,རིའི་ཀུན་དགའ་བོའི་མདོ,,A.10.40,,,,,,
39,80,般若部,通帙第34Ka,34,34,39,39,597,780,276a2-281b1,,Ānandaśrī,Ñi-ma rgyal-mtshan,,龍王難陀優波難陀調伏經,Nandopanandanāgarājadamana-sūtra,Kluḥi rgyal-po dgaḥ-bo ñer-dgaḥ ḥdul-baḥi mdo,ཀླུའི་རྒྱལ་པོ་དགའ་བོ་ཉེར་དགའ་འདུལ་བའི་མདོ,597,VM.39,707,,,,,
40,81,般若部,通帙第34Ka,34,34,40,40,,,281b1-282a6,,Ānandaśrī,Ñi-ma rgyal-mtshan,,大迦葉經,Mahākāśyapa-sūtra,Ḥod-sruṅ chen-poḥi mdo,འོད་སྲུང་ཆེན་པོའི་མདོ,,S.46.14,,,,,,
41,82,般若部,通帙第34Ka,34,34,41,41,,,282a6-282b6,,Ānandaśrī,Ñi-ma rgyal-mtshan,,日經,Sūrya-sūtra,Ñi-maḥi mdo,ཉི་མའི་མོད,99(583),S.2.1.10,544,,,,,
42,83,般若部,通帙第34Ka,34,34,42,42,,,282b6-283a5,,Ānandaśrī,Ñi-ma rgyal-mtshan,,月經,Candra-sūtra,Zla-baḥi mdo,ཟླ་བའི་མདོ,99(583),S.2.1.10,544,,,,,
43,84,般若部,通帙第34Ka,34,34,43,43,,,283a5-284a7,,Ānandaśrī,Ñi-ma rgyal-mtshan,,大吉祥經,Mahāmaṃgala-sūtra,Bkra-śis chen-poḥi mdo,བཀྲ་ཤིས་ཆེན་པོའི་མདོ,,Khp.5,,,,,,
44,85,華嚴部,通帙第35Ka-38A,35,38,44,44,293,1262,1b1-363a6,,Surendrabodhi、Jinamitra,Ye-śes sde,Vairocana,佛華嚴大方廣經,Buddha-avataṁsaka-nāma-mahāvaipūlya-sūtra,Saṅs-rgyas phal-po-che shes-bya-ba śin-tu-rgyas-pa-chen-poḥi mdo,སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ,"278,279,297",,"87,88,1142",,,,,"本經卷1-卷23 （1b1-393a5）對應大正278,本經卷68-卷80是《普賢菩薩行願讚》對應大正297。"
45,87,寶積部,通帙第39Ka,39,39,45,45,311,23,1b1-45a7,,Surendrabodhi、Jinamitra,Ye-śes sde,,聖大寶積法門十萬中說三律儀品大乘經,Ārya-mahāratnakūṭadharmaparyāyaśatasāhasrikagranthe trisaṁvaranirdeśaparivarta-nāma-mahāyānasūtra,Ḥphags-pa dkon-mchog brtsegs-pa chen-poḥi chos-kyi-rnam-graṅs stoṅ-phrag-brgya-pa-las sdom-pa gsum bstan-paḥi leḥu shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་སྟོང་ཕྲག་བརྒྱ་པ་ལས་སྡོམ་པ་གསུམ་བསྟན་པའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"310(1),311",,"23(1),24",,,,,
46,89,寶積部,通帙第39Ka,39,39,46,46,0310-02,22,45b1-99b7,,Surendrabodhi,Dpal-brtsegs rakṣita,,聖說無邊門清淨品大乘經,Ārya-anantamukhapariśodhananirdeśaparivarta-nāma-mahāyānasūtra,Ḥphags-pa sgo mthaḥ-yas-pa rnam-par-sbyoṅ-ba bstan-paḥi leḥu shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་སྒོ་མཐའ་ཡས་པ་རྣམ་པར་སྦྱོང་བ་བསྟན་པའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,310(2),,23(2),,,,,
47,90,寶積部,通帙第39Ka,39,39,47,47,312,1486,100a1-203a7,,Jinamitra、Dānaśīla、Munivarma,Ye-śes sde,,聖說如來秘密不思議大乘經,Ārya-tathāgatācintyaguhyanirdeśa-nāma-mahāyānasūtra,Ḥphags-pa de-bshin-gśegs-paḥi gsaṅ-ba bsam-gyis-mi-khyab-pa bstan-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་གསང་བ་བསམ་གྱིས་མི་ཁྱབ་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"310(3),312",,"23(3),1043",,,,,
48,92,寶積部,通帙第39Ka,39,39,48,48,0310-04,22,203ba-237b7,,,,,聖說夢大乘經,Ārya-svapnanirdeśa-nāma-mahāyānasūtra,Ḥphags-pa rmi-lam bstan-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,310(4),,23(4),,,,,
49,93,寶積部,通帙第39Ka,39,39,49,49,361,24,237b1-270a5,,Jinamitra、Dānaśīla,Ye-śes sde,,聖無量光莊嚴大乘經,Ārya-amitābhavyūha-nāma-mahāyāna-sūtra,Ḥphags-pa ḥod-dpag-med-kyi bkod-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་འོད་དཔག་མེད་ཀྱི་བཀོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"310(5),360,361,362,363,364",,"23(5),27,25,26,863,203",,KD0049M,KD0049M,KD0049M,
50,99,寶積部,通帙第40Kha,40,40,50,50,313,27,1b1-70a7,,Jinamitra、Surendrabodhi,Ye-śes sde,,聖阿[門@(人/(人+人))]如來莊嚴大乘經,Ārya-akṣobhyatathāgatasya vyūha-nāma-mahāyānasūtra,Ḥphags-pa de-bshin-gśegs-pa mi-ḥkhrugs-paḥi bkod-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་དེ་བཞིན་གཤེགས་པ་མི་འཁྲུགས་པའི་བཀོད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"310(6),313",,"23(6),28",,,,,
51,101,寶積部,通帙第40Kha,40,40,51,51,0310-07,22,70b1-140a7,,Ḥgos chos-grub（法成）,,,聖說被甲莊嚴大乘經,Ārya-varmavyūhanirdeśa-nāma-mahāyānasūtra,Ḥphags-pa go-chaḥi bkod-pa bstan-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་གོ་ཆའི་བཀོད་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,310(7),,23(7),,,,,
52,102,寶積部,通帙第40Kha,40,40,52,52,0310-08,22,140b1-164a5,,Jinamitra、Surendrabodhi,Ye-śes sde,,聖說法界自性無差別大乘經,Ārya-dharmadhātuprakṛti-asaṁbhedanirdeśa-nāma-mahāyānasūtra,Ḥphags-pa chos-kyi-dbyiṅs-kyi raṅ-bshin dbyer med-pa bstan-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་རང་བཞིན་དབྱེར་མེད་པ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,310(8),,23(8),,,,,
53,103,寶積部,通帙第40Kha,40,40,53,53,314,28,164a6-184b6,,Jinamitra、Surendrabodhi,Ye-śes sde,,聖十法大乘經經,Ārya-daśadharmaka-nāma-mahāyānasūtra,Ḥphags-pa chos-bcu-pa shes-ba-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཆོས་བཅུ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"310(9),314",,"23(9),29",,,,,
54,105,寶積部,通帙第40Kha,40,40,54,54,315,29,184b6-195a7,,Jinamitra、Surendrabodhi,Ye-śes sde,,聖普門品大乘經,Ārya-samantamukhaparivarta-nāma-mahāyānasūtra,Ḥphags-pa kun-nas-sgoḥi leḥu shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,"310(10),315",,"23(10),30",,,,,
55,107,寶積部,通帙第40Kha,40,40,55,55,0310-11,22,195b1-255b1,,,,,聖說光明遍放大乘經,Ārya-raśmisamantamuktanirdeśa-nāma-mahāyāna-sūtra,Ḥphags-pa ḥod-zer kun-du-dkye-ba bstan-pa shes-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་འོད་ཟེར་ཀུན་དུ་དཀྱེ་བ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ,310(11),,23(10),,,,,
56,108,寶積部,通帙第40Kha,40,40,56,56,316,1487,255b1-294a7,,Dharmatāśīla、Surendrabodhi、Śīlendra,,,聖菩薩藏大乘經,Ārya-bodhisattvapiṭaka-nāma-mahāyānasūtra,Ḥphags-pa byaṅ-chub-sems-dpaḥi sde-snod ces-bya-ba theg-pa chen-poḥi mdo,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མོད,"310(12),316",,"23(12),1005",,,,,
