13,k0001-12,T0220-12,Pañcapāramitānirdeśa,,Pha-rol-tu-phyin-pa lṅa-bstan-pa,,,,,
14,k0001-13,T0220-13,Pañcapāramitānirdeśa,,Pha-rol-tu-phyin-pa lṅa-bstan-pa,,,,,
15,k0001-14,T0220-14,Pañcapāramitānirdeśa,,Pha-rol-tu-phyin-pa lṅa-bstan-pa,,,,,
16,k0001-15,T0220-15,Pañcapāramitānirdeśa,,Pha-rol-tu-phyin-pa lṅa-bstan-pa,,,,,
17,k0001-16,T0220-16,Suvikrāntavikrāmiparipṛcchāprajñāpāramitāsūtra,,Rab-kyi-rtsal-gyis rnam-par-gnon-pas shus-pa śes-rab-kyi-pha-rol-tu phyin-pa bstan-pa,,,,,
18,k0002,T0221,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,放光般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,P - Śer-phyin (ni)-(di),N - Śer-phyin ñi-khri (ka)-(ga),D - Śer-phyin (ka)-(ga),L - Śer-phyin ñi-khri (ka)-(ga),C - Śer-phyin ñi-khri (ka)-(ṅa)
19,k0003,T0223,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,摩訶般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,,,,,
20,k0004,T0222,Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra,光讚經,Śes-rab-kyi-pha-rol-tu-phyin-pa stoṅ-phrag-ñi-śu-lṅa-pa,,,,,
21,k0005,T0226,Aṣṭasāhasrikāprajñāpāramitāsūtra,摩訶般若抄經,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,P -  Śer-phyin (mi),N - Śer-phyin brgyad-stoṅ-pa (ka),D - Śes-phyin (ka),L - Śer-phyin yum-bsdus (ka),C - Śer-phyin brgyad-stoṅ (ka)
22,k0006,T0224,Aṣṭasāhasrikāprajñāpāramitāsūtra,道行般若經,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,,,,,
23,k0007,T0227,Aṣṭasāhasrikāprajñāpāramitāsūtra,小品般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,,,,,
24,k0008,T0231,Suvikrāntavikrāmiparipṛcchāprajñāpāramitāsūtra,勝天王般若波羅蜜經,Rab-kyi-rtsal-gyis rnam-par-gnon-pas shus-pa śes-rab-kyi-pha-rol-tu phyin-pa bstan-pa,P - 22b-113b,N - 1-130a,D - 20a-103b,L - 1b-123b,C - 21b-117b
25,k0009,T0225,Aṣṭasāhasrikāprajñāpāramitāsūtra,大明度經,Śes-rab-kyi-pha-rol-tu-phyin-pa brgyad-stoṅ-pa,,,,,
26,k0010,T0232,Saptaśatikāprajñāpāramitāsūtra,文殊師所說摩訶般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa,P - 114a-143a,N - 130a-169b,D - 148a-174a,L - 123-162b,C - 117b-147b
27,k0011,T0233,Saptaśatikāprajñāpāramitāsūtra,文殊師所說般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa,,,,,
28,k0012,T0234,Nāgaśrīpāripṛcchāsūtra,濡首菩薩無上淸淨分衞經,,,,,,
29,k0013,T0235,Vajracchedikāprajñāpāramitāsūtra,金剛般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,P - 161b-175b,N - 222a-240a,D - 121a-132b,L - 215a-235b,C - 169a-186a
30,k0014,T0236,Vajracchedikāprajñāpāramitāsūtra,金剛般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,,,,,
31,k0015,T0237,Vajracchedikāprajñāpāramitāsūtra,金剛般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,,,,,
32,k0016,T0220-09,Vajracchedikāprajñāpāramitāsūtra,能斷金剛般若波羅蜜經,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,,,,,
33,k0017,T0239,Vajracchedikāprajñāpāramitāsūtra,能斷金剛般若波羅蜜多經,Śes-rab-kyi-pha-rol-tu-phyin-pa rdo-rje gcod-pa,,,,,
34,k0018,T0240,Adhyardhaśatikāprajñāpāramitāsūtra,實相般若波羅蜜多經,Śes-rab-kyi-pha-rol-tu-phyin-paḥi tshul brgya-lṅga-bcu-pa,P - 277b-284b,N - 466a-476b,D - 266a-272a,L - 288a-299a,C - 300a-309a
35,k0019,T0245,,仁王般若波羅蜜經,,,,,,
36,k0020,T0251,Prajñāpāramitāhṛdayasūtra,般若波羅蜜多心經,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po,P - 39b-41a,N - 92a-94a,D - 94b-95b,L - 45a-47a,C - 43b-45a
37,k0021,T0250,Prajñāpāramitāhṛdayasūtra,摩訶般若波羅蜜大明呪經,Bcom-ldan-ḥdas-ma śes-rab-kyi-pha-rol-tu-phyin-paḥi sñiṅ-po,,,,,
38,k0022,T0310,(Mahā)ratnakūṭa,大寶積經,Dkon-brtsegs,,,,,
39,k0022-01,T0310-01,Trisaṃvaranirdeśa(sūtra),三律儀會,(Dkon-mchog brtsegs-pa chen-poḥi chos-kyi-rnam graṅs ston-phrag-brgya-pa-las) sdom-pa gsum bstan-paḥi leḥu,,,,,
40,k0022-02,T0310-02,Anantamukhapariśodhananirdeśaparivarta(sūtra),無邊莊嚴會,Sgo mthaḥ-yas-pa rnam-par sbyoṅ-ba bstan-paḥi leḥu,P - 51b-113b,N - 84b-171b,D - 45b-99b,L - 68b-151a,C - 51a-112b
41,k0022-03,T0310-03,Tathāgataguhyasūtra,密迹金剛力士會,De-bshin-gśegs-paḥi gsaṅ-ba bsam-gyis-mi-khyab bstan-pa,,,,,
42,k0022-04,T0310-04,Svapnanirdeśasūtra,淨居天子會,Rmi-lam bstan-pa,P - 233a-270b,N - 341b-394a,D - 203b-237b,L - 313b-367a,C - 234b-271b
43,k0022-05,T0310-05,Sukhāvatīvyūhasūtra,無量壽如來會,Ḥod-dpag-med-kyi bkod-pa,,,,,
44,k0022-06,T0310-06,Akṣobhyatathāgatasyavyūha(sūtra),不動如來會,De-bshin-gśegs-pa mi-ḥkhrugs-paḥi bkod-pa,,,,,
45,k0022-07,T0310-07,Varmavyūhanirdeśa(sūtra),被甲莊嚴會,Go-chaḥi bkod-pa bstan-pa,P - 80a-157b,N - 112a-219b,D - 70b-140a,L - 115a-229b,C - 79a-165a
46,k0022-08,T0310-08,Dharmadhātuprakṛti-asambhedanirdeśa(sūtra),法界體性無別會(經),Chos-kyi-dbyiṅs-kyi raṅ-bshin dbyer-med-pa bstan-pa,P - 158a-183a,N - 219b-255a,D - 140b-164a,L - 229b-268a,C - 165a-192b
47,k0022-09,T0310-09,Daśadharmaka(ka)(sūtra),(大乘)十法會(經),Chos bcu-pa,,,,,
48,k0022-10,T0310-10,Samantamukhaparivartasūtra,文殊師利普門會,Kun-nas-sgoḥi-leḥu,,,,,
49,k0022-11,T0310-11,Raśmisamantamuktanirdeśa(sūtra),出現光明會,Ḥod-zer kun-du-bkye-ba bstan-pa,P - 218b-281b,N - 304a-402a,D - 195a-255b,L - 322a-420a,C - 228a-299a
50,k0022-12,T0310-12,Bodhisattvapiṭaka(sūtra),大菩薩藏經,Byan-chub-sems-dpaḥi-sde-snod,,,,,
51,k0022-13,T0310-13,Garbhāvakrāntinirdeśa(sūtra),佛爲阿難說處胎會,Tshe-daṅ-ldan-pa dgaḥ-bo-la mṇal du ḥjug-pa bstan-pa,,,,,
52,k0022-14,T0310-14,Anandagarbhāvakrāntinirdeśa(sūtra),佛爲難陀說出家入胎經,Dgaḥ-bo-la mṇal-na-gnas-pa bstan-pa,P - 248a-282b,N - 426b-477a,D - 205b-236b,L - 399b-448a,C - 244a-280b
53,k0022-15,T0310-15,Mañjuśrībuddhakṣetraguṇavyūha(sūtra),文殊師利授記會(經),Ḥjam-dpal gyi saṅs-rgyas kyi-shiṅ-gi yon-tan bkod-pa,,,,,
54,k0022-16,T0310-16,Pitāputrasamāgamana(sūtra),菩薩見實會(經),Yab daṅ sras mjal-ba,,,,,
55,k0022-17,T0310-17,Pūrṇaparipṛcchā(sūtra),菩薩藏經,Gaṅ-pos shus-pa,P - 227a-296b,N - 336b-429b,D - 168a-227a,L - 358a-458b,C - 193a-262a
56,k0022-18,T0310-18,Rāṣṭrapālaparipṛcchā(sūtra),護國菩薩會經,Yul-ḥkor-skyoṅ-gis shus-pa,,,,,
57,k0022-19,T0310-19,Ugra(datta)paripṛcchā(sūtra),郁伽羅越問菩薩經,Khyim-bdag-drag-śul-can-gyis shus-pa,,,,,
58,k0022-20,T0310-20,Vidyutprāptaparipṛcchā(sūtra),無盡伏藏會,Glog-thob-kyis shus-pa,P - 333b-350,N - 50b-74b,D - 1-17b,L - 50b-75a,C - lb-21b
59,k0022-21,T0310-21,Bhadramāyākāraparipṛcchā(sūtra),授幻師跋陀羅記會,Sgyu-ma-mkhan bzaṅ-po luṅ-bstan-pa,,,,,
60,k0022-22,T0310-22,Mahāprātihāryanirdeśa(sūtra),大變會,Cho-ḥphrul chen-po bstan-pa,P - 22a-58b,N - 100a-150b,D - 36a-67b,L - 102a-152b,C - 42a-77b
61,k0022-23,T0310-23,Maitreyamahāsiṃhanāda(sūtra),大迦葉經,Byams-paḥi seṅ-geḥi-sgra chen-po,P - 58b-111a,N - 150b-220a,D - 68a-114b,L - 152b-222a,C - 77b-132b
62,k0022-24,T0310-24,Upāliparipṛcchā(sūtra),優波離會,Ḥdul-ba rnam-par gtan-la-dbab-pa ñe-bar-ḥkhor-gyis shus-pa,,,,,
63,k0022-25,T0310-25,Adhyāśayasañcodana(sūtra),發勝志樂會,Lhag-paḥi-bsam-pa bskul-ba,,,,,
64,k0022-26,T0310-26,Subāhuparipṛcchā(sūtra),善臂菩薩會,Lag-bzaṅs-kyi shus-pa,P - 153b-184b,N - 277b-316b,D - 154a-180b,L - 278b-319a,C - 175a-206a
65,k0022-27,T0310-27,Surataparipṛcchā(sūtra),善順菩薩會,ṅes-pa shus-pa,,,,,
66,k0022-28,T0310-28,Vīradatta(gṛhapati)paripṛcchā(sūtra),勸授長者會,Khyim-bdag-dpas-byin-gyis shus-pa,,,,,
67,k0022-29,T0310-29,Udayanavatsarājaparipṛcchā(sūtra),優陀延王會,Vatsaḥi-rgyal-po ḥchar-byed-kyis shus-pa,,,,,
68,k0022-30,T0310-30,Sumatidārikāparipṛcchā(sūtra),妙慧童女經,Bu-mo blo-gros-bzaṅ-mos shus-pa,,,,,
69,k0022-31,T0310-31,Gaṅgottaraparipṛcchā(sūtra),恒河上優婆夷會,Gaṅ-gāḥi-mchog-gis shus-pa,P - 231b-335a,N - 377b-382b,D - 222a-225b,L - 381b-387a,C - 253b-258a
70,k0022-32,T0310-32,Aśokadattavyākaraṇa(sūtra),無畏德經,Mya-ṅan-med-kyis-byin-pa luṅ-bstan-pa,,,,,
71,k0022-33,T0310-33,Vimaladattāparipṛcchā(sūtra),無垢菩薩分別應辯經,Dri-ma-med-kyis-byiṅ-pas shus-pa,,,,,
72,k0022-34,T0310-34,Guṇaratnasaṅkusumitaparipṛcchā(sūtra),功德寶花敷菩薩會,Yon-tan rin-chen-me-tog kun tu-rgyas-pas shus-pa,P - 22a-27b,N - 29b-36b,D - 21b-26a,L - 80b-88a,C - 25a-31a
73,k0022-35,T0310-35,Acintyabuddhaviṣayānirdeśa(sūtra),善德天子會,Saṅs-rgyas-kyi yul bsam-kyis-mi-khyab-pa bstan-pa,,,,,
74,k0022-36,T0310-36,Suṣṭhitamati(devaputra)paripṛcchā(sūtra),(大方等)善住意天子會(所問經),Lhaḥi-bu-blo-gros-rab-gnas-kyis shus-pa,,,,,
75,k0022-37,T0310-37,Siṃhaparipṛcchā(sūtra),阿闍世王子會,Seṅ-ges shus-pa,,,,,
76,k0022-38,T0310-38,(Upāyakauśalya)jñānottarabodhisattvaparipṛcchā(sūtra),大乘方便會(經),Saṅs-rgyas thams-cad-kyi gsaṅ chen thabs-la-mkhas-pa byaṅ-chub-sems-dpaḥ ye-śes-dam-pas shus-paḥi leḥu,,,,,
77,k0022-39,T0310-39,Bhadrapālaśreṣṭhiparipṛcchā(sūtra),移識經,Tshoṅ-dpon bzaṅ-skyoṅ-gis shus-pa,,,,,
78,k0022-40,T0310-40,Dārikāvimalaśraddhāparipṛcchā(sūtra),淨信童女會,Bu-mo rnam-dag-dad-pas shus-pa,P - 73b-84a,N - 172a-185b,D - 95a-104b,L - 175b-189a,C - 100b-110b
79,k0022-41,T0310-41,Maitreyaparipṛcchādharmāṣṭa(ka)(sūtra),彌勒菩薩問八法會,Byams-pas shus-pa,,,,,
80,k0022-42,T0310-42,Maitreyaparipṛcchā(sūtra),彌勒菩薩所問會(經),Byams-pas shus-pa,,,,,
81,k0022-43,T0310-43,Kāśyapaparivarta(sūtra),古大寶積經,Ḥod-sruṅ-gi-leḥu,,,,,
82,k0022-44,T0310-44,Ratnarāśi(sūtra),寶梁經,Rin-po-cheḥi-phuṅ-po,P - 146b-173b,N - 261a-298b,D - 152a-175b,L - 260b-298a,C - 161a-186b
83,k0022-45,T0310-45,Akṣayamatiparipṛcchā(sūtra),無盡慧菩薩會,Blo-gros-mi-zad-pas shus-pa,P - 138a-146b,N - 298b-309a,D - 175b-182b,L - 298a-309a,C - 186b-193b
84,k0022-46,T0310-46,Saptaśatikaprajñāpāramitāsūtra,文殊說般若會(經),Śes-rab-kyi-pha-rol-tu-phyin-pa bdun-brgya-pa,P - 173b-203b,N - 309a-349a,D - 182b-209b,L - 309a-350a,C - 193b-222a
85,k0022-47,T0310-47,Ratnacūḍa(paripṛcchā)(sūtra),寶髻菩薩會(經),Gtsug-na-rin-po-ches shus-pa,P - 204a-257a,N - 349a-419a,D - 210a-254b,L - 350a-418a,C - 222a-273a
86,k0022-48,T0310-48,Śrīmālā(devi)siṃhanāda(sūtra),勝鬘夫人會,Lha-mo-dpal-phreṅ-gi-seṅ-geḥi sgra,,,,,
87,k0022-49,T0310-49,Vyāsaparipṛcchā(sūtra),廣博仙人會,Draṅ-sroṅ-rgyas-pas shus-pa,,,,,
88,k0023,T0311,Trisaṃvaranirdeśaparivarta(sūtra),大方廣三戒經,Sdom-pa gsum bstan-paḥi leḥu,P - 1-51b,N - 1-84a,D - 1b-45a,L - Dkon-brtsegs (ka),C - 1b-51a
89,k0024,T0361,Sukhāvatīvyūhasūtra,無量淸淨平等覺經,Ḥod-dpag-med-kyi bkod-pa,P - 270b-308a,N - 394a-448a,D - 237b-270a,L - 3G7a-418a,C - 271b-311a
90,k0025,T0362,Sukhāvatīvyūhasūtra,阿彌陀三耶三佛薩樓佛壇過度人道經,Ḥod-dpag-med-kyi bkod-pa,,,,,
91,k0026,T0360,Sukhāvatīvyūhasūtra,無量壽經,Ḥod-dpag-med-kyi bkod-pa,,,,,
92,k0027,T0313,Akṣobhyatathāgatasyavyūhasūtra,阿閦佛國經,De-bshin-gśegs-pa mi-ḥkhrugs-paḥi bkod-pa,P - 1-80a,N - 1-112a,D - 1b-70a,L - 1b-11Sa,C - 1b-79a
93,k0028,T0314,Daśadharma(ka)(sūtra),大乘十法經,Chos-bcu-pa,P - 183a-206a,N - 255a-286b,D - 164a-184b,L - 286a-303b,C - 192b-216b
94,k0029,T0315,Samantamukhaparivarta(sūtra),普門品經,Kun-nas-sgoḥi leḥu,P - 206a-218b,N - 287a-304a,D - 184b-195a,L - 303b-322a,C - 216b-228a
95,k0030,T0317,Garbhāvakrāntinirdeśa(sūtra),胞胎經,Tshe-daṅ-ldan-pa dgaḥ-bo-la mṅal du ḥjug-pa bstan-pa,P - 234a-248a,N - 408a-426b,D - 237a-248a,L - 380b-399b,C - 280b-294a
96,k0031,T0318,Mañjuśrībuddhakṣetraguṇavyūha(sūtra),文殊師利佛土嚴淨經,Ḥjam-dpal-gyi saṅs-rgyas-kyi shiṅ-gi yon-tan bkod-pa,P - 282b-339a,N - 1-80b,D - 248-297a,L - 1b-85a,C - 294a-349a
97,k0032,T0322,Ugra(datta)paripṛcchā(sūtra),法鏡經,Khyim-bdag-drag-śul-can-gyis shus-pa,P - 296b-333b,N - 1-50b,D - 257a-288a,L - 1b-50b,C - 296b-332a
98,k0033,T0323,Ugra(datta)paripṛcchā(sūtra),郁迦羅越問菩薩行經,Khyim-bdag-drag-śul-can-gyis shus-pa,,,,,
99,k0034,T0324,Bhadramāyākāraparipṛcchā(sūtra),幻士仁賢經,Sgyu-ma-mkhan bzaṅ-po luṅ-bstan-pa,P - 1-22a,N - 74b-100a,D - 17b-3Ga,L - 75a-102a,C - 21b-42a
100,k0035,T0325,Upāliparipṛcchā(sūtra),決定毗尼經,Ḥdul-ba rnam-par-gtan-la-dbab-pa ñe-bar-ḥkhor gyis shus-pa,P - 111a-129a,N - 220a-244a,D - 115a-131a,L - 222a-246a,C - 132b-151a
101,k0036,T0336,Sumatidārikāparipṛcchā(sūtra),須摩提經,Bu-mo blo-gros-bzaṅ-mor shus-pa,P - 224b-231a,N - 368a-377b,D - 216a-222a,L - 372a-381b,C - 246b-253b
102,k0037,T0327,Adhyāśayasañcodana(sūtra),發覺淨心經,Lhag-paḥi-bsam-pa bskul-ba,P - 129b-153b,N - 244a-277b,D - 131a-153b,L - 246a-278b,C - 151a-175a
103,k0038,T0332,Udayanavatsarājaparipṛcchā(sūtra),優填王經,Vatsaḥi-rgyal-po ḥchar-byed-kyis shus-pa,P - 212a-224a,N - 350b-368a,D - 204b-215b,L - 355a-372a,C - 234b-246b
104,k0039,T0334,Sumatidārikāparipṛcchā(sūtra),須摩提菩薩經,Bu-mo blo-gros-bzaṅ-mos shus-pa,,,,,
105,k0040,T0337,Aśokadattavyākaraṇa(sūtra),阿闍貰王女阿術達菩薩經,Mya-ṅan-med-kyis-byin-pa luṅ-bstan-pa,P - 235a-252b,N - 382b-406b,D - 225b-240b,L - 387a-411b,C - 258a-275a
106,k0041,T0338,Vimaladattāparipṛcchā(sūtra),離垢施女經,Dri-ma-med-kyis-byin-pas shus-pa,P - 253a-275b,N - 406b-437a,D - 241a-261b,L - 411h-442a,C - 275a-298a
107,k0042,T0339,Vimaladattāparipṛcchā(sūtra),得無垢女經,Dri-ma-med-kyis byin-pas shus-pa,,,,,
108,k0043,T0340,Acintyabuddhaviṣayanirdeśa(sūtra),文殊師利所說不思議佛境界經,Saṅs-rgyas-kyi yul bsam-kyis-mi-khyab-pa bstan-pa,P - 281a-302a,N - 443b-473a,D - 266b-284b,L - 449a-478a,C - 302b-322a
109,k0044,T0342,Suṣṭhitamati(devaputra)paripṛcchā(sūtra),如幻三昧經,Lhaḥi-bu blo-gros-rab-gnas-kyis shus-pa,P - 302a-357a,N - 1-73b,D - 27a,L - 1b-75b,C - 27b
110,k0045,T0341,Suṣṭhitamati(devaputra)paripṛcchā(sūtra),聖善住意天子所問經,Lhaḥi-bu blo-gros-rab-gnas-kyis shus-pa,,,,,
111,k0046,T0343,Siṃhaparipṛcchā(sūtra),太子刷護經,Seṅ-ges shus-pa,P - Dkon-brtsegs (hi),N - 73b-77b,D - 27a-29b,L - 75b-79a,C - 27b-30b
112,k0047,T0344,Siṃhaparipṛcchā(sūtra),太子和休經,Seṅ-ges shus-pa,,,,,
113,k0048,T0345,°cchāparivarta(sūtra),慧上菩薩問大善權經,Saṅs-rgyas thams-cad-kyi-gsaṅ chen thabs-la-mkhas-pa byaṅ-chub-sems-dpaḥ ye-śes dam-pas shu paḥi-leḥu,P - 298b-327a,N - 405b-447,D - 283b-310a,L - 60b-104b,C - 314b-344a
114,k0049,T0341,Bhadrapalāśreṣṭhiparipṛcchā(sūtra),大乘顯識經,Tshoṅ-dpon bzaṅ-skyoṅ-gis shus-pa,P - 50b-73b,N - 137b-172a,D - 71a-94b,L - 139b-175b,C - 75a- l00b.Ono. = A.D. 630
115,k0050,T0348,Maitreyaparipṛcchādharmāṣṭa(ka)(sūtra),大乘方等要慧經,Byams-pas shus-pa,P - 84a-97a,N - 185b-203a,D - 104b-116b,L - 189a-207a,C - 110b-123a
116,k0051,T0349,Maitreyaparipṛcchā(sūtra),彌勒菩薩所問本願經,Byams-pas shus-pa,P - 293a-b,N - 470b-472a,D - 330b-331a,L - 460b-462a,C - 312a-313a
117,k0052,T0350,Kāśyapaparivarta(sūtra),遺日摩尼寶經,Ḥod-sruṅ-gi-leḥu,P - 100b-138a,N - 208a-261a,D - 119b-151b,L - 211a-260b,C - 125b-161a
118,k0053,T0351,Kāśyapaparivarta(sūtra),摩訶衍寶嚴經,Ḥod-sruṅ-gi-leḥu,,,,,
119,k0054,T0353,Śrīmālā(devī)siṃhanādasūtra,勝鬘師子吼一乘大方便方廣經,Lha-mo dpal-phreṅ-gi-seṅ-geḥi sgra,P - 257b-285a,N - 419a-455b,D - 255a-277b,L - 418a-454a,C - 273a-298b
120,k0055,T0354,Vyāsaparipṛcchā(sūtra),毗耶婆問經,Draṅ-sroṅ-rgyas-pas shus-pa,P - 285a-311a,N - 455b-489,D - 278a-299a,L - 454a-488a,C - 298b-322a
121,k0056,T0397,(Mahāvaipulyamahā)sannipātasūtra,大方等大集經,,P - 98a-259b,N - 131b-350b,D - 91b-245b,L - 145a-385a,C - 104a-274a
122,k0057,T0411,Daśacakrakṣitigarbha(sūtra),大乘大集地藏十輪經,Ḥdus-pa chen-po-las saḥi-sñin-poḥi ḥkhor-lo bcu-pa,P - 107b-256b,N - 154b-367b,D - 100a-241b,L - 154a-371b,C - 113b-274a
123,k0058,T0410,Daśacakrakṣitigarbha(sūtra),大方廣十輪經,(Ḥdus-pa chen-po-las) saḥi-sñin-poḥi ḥkhor-lo bcu-pa,,,,,
124,k0059,T0397-16,Tathāgataśrīsamaya(sūtra),大乘大集經,(Ḥdus-pa chen-po theg-pa chen-poḥi mdo-sde-las) de-bshin-gśegs-paḥi dpal-gyi dam-tshig,P - 297a-310a,N - 416a-463a,D - 266b-297a,L - 428b-476a,C - 337a-375a
125,k0060,T0414,Bodhisattvabuddhānusmṛtisamādhi(sūtra),菩薩念佛三昧經,,,,,,
126,k0061,T0408,Ākāśagarbhasūtra,虛空孕菩薩經,Nam-mkhaḥi sñiṅ-po,P - 278b-298b,N - 377a-405b,D - 264a-283b,L - 30b-60b,C - 294a-314b
127,k0062,T0405,Ākāśagarbhasūtra,虛空藏菩薩經,Nam-mkhaḥi sñiṅ-po,,,,,
128,k0063,T0407,Ākāśagarbhasūtra,虛空藏菩薩呪經,Nam-mkhaḥi sñiṅ-po,,,,,
129,k0064,T0409,,觀虛空藏菩薩經,,,,,,
130,k0065,T0415,Bodhisattvabuddhānusmṛtisamādhi,大方等大集經菩薩念佛三昧分,,,,,,
131,k0066,T0416,Bhadrapālasūtra,大方等大集經賢護分,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,P - 1-73a,N - 1-115a,D - 1b-70b,L - 1b-106b,C - 1b-91b
132,k0067,T0418,Bhadrapālasūtra,般舟三昧經,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,,,,,
133,k0068,T0417,Bhadrapālasūtra,般若三昧經,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,,,,,
134,k0069,T0419,Bhadrapālasūtra,拔陂菩薩經,Da-ltar-gyi saṅs-rgyas mṅon-sum du bshugs-paḥi tiṅ-ṅe-ḥdsin,,,,,
135,k0070,T0403,Akṣayamati(nirdeśa)sūtra,阿差末菩薩經,Blo-gros-mi-zod-pas bstan-pa,P - 82b-180a,N - 124a-274a,D - 79a-174b,L - 122b-270b,C - 88b-205a
136,k0071,T0397-12,Akṣayamati(nirdeśa)sūtra,無盡意菩薩經,Blo-gros-mi-zad-pas bstan-pa,,,,,
137,k0072,T0398,Tathāgatamahākaruṇānirdeśa(sūtra),大哀經,De-bshin-gśegs-paḥi sñiṅ-rje chen-po ṅes-par bstan-pa,P - 102a-2046,N - Mdo (da),D - 142a-242b,L - 153b-319a,C - 96b-212b
138,k0073,T0422,,大集譬喩王經,,,,,,
139,k0074,T0399,Mahāyānopadeśa(sūtra),寶女所問經,Theg-pa chen-poḥi man-nag,P - 273b-323a,N - 418b-498a,D - 260a-307a,L - 412a-490a,C - 305b-370b
140,k0075,T0420,Vikurvāṇarājaparipṛcchā(sūtra),自在王菩薩經,Rnam-par-ḥphrul-baḥi rgyal-pos shus-pa,P - 184b-222a,N - 283a-339b,D - 175b-210b,L - 277a-333b,C - 206a-243b
141,k0076,T0421,Vikurvāṇarājaparipṛcchā(sūtra),奮迅王問經,Rnam-par-ḥphrul-baḥi rgyal-pos shus-pa,,,,,
142,k0077,T0401,,無言童子經,,,,,,
143,k0078,T0402,Ratnaketudhāraṇī(sūtra),寶星陀羅尼經,(Ḥdus-pa chen-po)rin-po-che-tog-gi gzuṅs,P - 201b-300b,N - 304b-455a,D - 187b-277b,L - 289b-432a,C - 227a-335b
