Class,By part,Book,Book end,Number,Number,Identifier,Other book,Page number,Book vol,actual volumes’ number,Name,Deputy by name,Translator,Goryeo,Korean,Remarks,number of notes,Annotated by,Related classic,References
阿含部類,阿含部上,1,1,20,20,0,,259,1,1,佛開解梵志阿[颱-台+(犮-乂+又)]經,,吳 支謙譯,657,19,,,,"縮-昃10,卍-14.2,南-6.3",No.1(20)
阿含部類,阿含部上,1,1,21,21,0,,264,1,1,梵網六十二見經,,吳 支謙譯,659,19,,,,"縮-昃10,卍-14.1,南-6.1",No.1(21)
阿含部類,阿含部上,1,1,22,22,0,,270,1,1,寂志果經,,東晉 竺曇無蘭譯,658,19,,,,"縮-昃10,卍-14.2,南-6.2","Nos.1(27),125(43.7)"
阿含部類,阿含部上,1,1,23,23,0,,277,6,6,大樓炭經,,西晉 法立共法炬譯,662,19,,,,"縮-辰1,卍-14.1","Nos.1(30),24,25"
阿含部類,阿含部上,1,1,24,24,0,,310,10,10,起世經,,隋 闍那崛多等譯,660,19,,,,"縮-辰1,卍-13.10","Nos.1(30),23,25"
阿含部類,阿含部上,1,1,25,25,0,,365,10,10,起世因本經,,隋 達摩笈多譯,661,19,,,,"縮-辰1,卍-13.10","Nos.1(30),23,24"
阿含部類,阿含部上,1,1,26,26,0,,421,60,60,中阿含經,,東晉 瞿曇僧伽提婆譯,648,17,,,,"縮-昃5-7,卍-12.9-13.1,南-9-11,國-阿4-6","cf.Nos.10,11,14-17,27-94"
阿含部類,阿含部上,1,1,27,27,0,,810,1,1,七知經,,吳 支謙譯,665,19,,,,"縮-昃8,卍-14.1,南-20.7.64","Nos.26(1),125(39.1)"
阿含部類,阿含部上,1,1,28,28,0,,810,1,1,園生樹經,,宋 施護譯,1413,40,,,,"縮-昃8,卍-15.10,南-20.7.65","Nos.26(2),125(39.2)"
阿含部類,阿含部上,1,1,29,29,0,,811,1,1,鹹水喻經,,失譯,668,19,,,,"縮-昃8,卍-14.1,南-20.7.15","Nos.26(4),125(39.3)"
阿含部類,阿含部上,1,1,30,30,0,,811,1,1,薩[金*本]多酥哩踰捺野經,,宋 法賢譯,1201,34,,,,"縮-昃8,卍-15.5,南-20.7.62","Nos.26(8),125(40.1)"
阿含部類,阿含部上,1,1,31,31,0,,813,1,1,一切流攝守因經,,後漢 安世高譯,672,19,,,,"縮-昃8,卍-14.1,南-9.2","Nos.26(10),125(40.6)"
阿含部類,阿含部上,1,1,32,32,0,,814,1,1,四諦經,,後漢 安世高譯,673,19,,,,"縮-昃8,卍-14.2,南-11下.141","Nos.26(31),125(27.1)"
阿含部類,阿含部上,1,1,33,33,0,,817,1,1,恒水經,,西晉 法炬譯,675,19,,,,"縮-昃8,卍-14.2,南-21.8.20","Nos.26(37),34,35"
阿含部類,阿含部上,1,1,34,34,0,,818,1,1,法海經,,西晉 法炬譯,783,19,,,,"縮-宿7,卍-14.3,南-21.8.20","Nos.26(37),33,35"
阿含部類,阿含部上,1,1,35,35,0,,819,1,1,海八德經,,後秦 鳩摩羅什譯,779,19,,,,"縮-宿7,卍-14.3,南-21.8.20","Nos.26(37),33,34"
阿含部類,阿含部上,1,1,36,36,0,,819,1,1,本相猗致經,,後漢 安世高譯,674,19,,,,"縮-昃8,卍-14.2,南-22下.10.61-62","Nos.26(51),37"
阿含部類,阿含部上,1,1,37,37,0,,820,1,1,緣本致經,,失譯,669,19,,,,"縮-昃8,卍-14.2,南-22下.10.61-62","Nos.26(51),36"
阿含部類,阿含部上,1,1,38,38,0,,821,1,1,輪王七寶經,,宋 施護譯,1422,40,,,,"縮-昃8,卍-15.10,南-16上.46.42","Nos.26(58),99(721),125(39.7)"
阿含部類,阿含部上,1,1,39,39,0,,822,1,1,頂生王故事經,,西晉 法炬譯,676,19,,,,"縮-昃8,卍-14.2,*南-31.258","Nos.26(60),40"
阿含部類,阿含部上,1,1,40,40,0,,824,1,1,文陀竭王經,,北涼 曇無讖譯,681,19,,,,"縮-昃8,卍-14.2,*南-31.258","Nos.26(60),39"
阿含部類,阿含部上,1,1,41,41,0,,825,1,1,頻婆娑羅王經,,劉宋 法賢譯,1243,34,,,,"縮-昃8,卍-15.5,南-3.1.22",No.26(62)
阿含部類,阿含部上,1,1,42,42,0,,826,1,1,鐵城泥犁經,,東晉 竺曇無蘭譯,684,19,,,,"縮-昃8,卍-14.1,南-11下.130","Nos.26(64),43,125(32.4)"
阿含部類,阿含部上,1,1,43,43,0,,828,1,1,閻羅王五天使者經,,劉宋 慧簡譯,682,19,,,,"縮-昃8,卍-14.1,南-11下.130","Nos.26(64),42,125(32.4)"
阿含部類,阿含部上,1,1,44,44,0,,829,1,1,古來世時經,,失譯,670,19,,,,"縮-昃8,卍-14.1,*南-25.長老偈910-919偈",No.26(66)
阿含部類,阿含部上,1,1,45,45,0,,831,2,2,大正句王經,,宋 法賢譯,1234,34,,,,"縮-昃8,卍-15.5,南-7.23","No.26(68),cf.No.1(2)"
阿含部類,阿含部上,1,1,46,46,0,,835,1,1,阿那律八念經,,後漢 支曜譯,686,19,,,,"縮-昃8,卍-14.1,南-21.8.30","Nos.26(74),125(41.6)"
阿含部類,阿含部上,1,1,47,47,0,,837,1,1,離睡經,,西晉 竺法護譯,687,19,,,,"縮-昃8,卍-14.1,南-20.7.58",No.26(83)
阿含部類,阿含部上,1,1,48,48,0,,837,1,1,是法非法經,,後漢 安世高譯,690,19,,,,"縮-昃8,卍-14.1,南-11下.113",No.26(85)
阿含部類,阿含部上,1,1,49,49,0,,839,1,1,求欲經,,西晉 法炬譯,677,19,,,,"縮-昃8,卍-14.1,南-9.5","Nos.26(87),125(25.6)"
阿含部類,阿含部上,1,1,50,50,0,,842,1,1,受歲經,,西晉 竺法護譯,688,19,,,,"縮-昃8,卍-14.1,南-9.15",No.26(89)
阿含部類,阿含部上,1,1,51,51,0,,843,1,1,梵志計水淨經,,失譯,671,19,,,,"縮-昃8,卍-14.1,南-9.7","Nos.26(93),99(1185),100(99),125(13.5)"
阿含部類,阿含部上,1,1,52,52,0,,844,1,1,大生義經,,宋 施護譯,1410,40,,,,"縮-昃8,卍-15.7.南-7.15","No.26(97),cf.Nos.1(13),14"
阿含部類,阿含部上,1,1,53,53,0,,846,1,1,苦陰經,,失譯,692,19,,,,"縮-昃8,卍-14.1,南-9.13","Nos.26(99),125(21.9)"
阿含部類,阿含部上,1,1,54,54,0,,848,1,1,釋摩男本四子經,,吳 支謙譯,691,19,,,,"縮-昃8,卍-14.1,南-9.14","Nos.26(100),55"
阿含部類,阿含部上,1,1,55,55,0,,849,1,1,苦陰因事經,,西晉 法炬譯,678,19,,,,"縮-昃8,卍-14.1,南-9.14","Nos.26(100),54"
阿含部類,阿含部上,1,1,56,56,0,,851,1,1,樂想經,,西晉 竺法護譯,689,19,,,,"縮-昃8,卍-14.1,南-9.1",No.26(106)
阿含部類,阿含部上,1,1,57,57,0,,851,1,1,漏分布經,,後漢 安世高譯,693,19,,,,"縮-昃8,卍-14.1,南-20.6.63",No.26(111)
阿含部類,阿含部上,1,1,58,58,0,,853,1,1,阿耨風經,,東晉 竺曇無蘭譯,685,19,,,,"縮-昃8,卍-14.1,南-20.6.62",No.26(112)
阿含部類,阿含部上,1,1,59,59,0,,855,1,1,諸法本經,,吳 支謙譯,666,19,,,,"縮-昃8,卍-14.1,南-21.8.83,22上.10.58",No.26(113)
阿含部類,阿含部上,1,1,60,60,0,,856,1,1,瞿曇彌記果經,,劉宋 慧簡譯,683,19,,,,"縮-昃8,卍-14.1,南-4.10.5,21.8.51",No.26(116)
阿含部類,阿含部上,1,1,61,61,0,,858,1,1,受新歲經,,西晉 竺法護譯,871,20,,,,"縮-宿8,續-1.1.4,南-12.8.7","Nos.26(121),62,63,99(1212),100(228),125(32.5)"
阿含部類,阿含部上,1,1,62,62,0,,859,1,1,新歲經,,東晉 竺曇無蘭譯,872,20,,,,"縮-宿8,卍-15.2,南-12.8.7","Nos.26(121),61,63,99(1212),100(228),125(32.5)"
阿含部類,阿含部上,1,1,63,63,0,,861,1,1,解夏經,,宋 法賢譯,1253,34,,,,"縮-宿8,卍-15.5,南-12.8.7","Nos.26(121),61,62,99(1212),100(228),125(32.5)"
阿含部類,阿含部上,1,1,64,64,0,,862,1,1,瞻婆比丘經,,西晉 法炬譯,679,19,,,,"縮-昃8,卍-14.2,南-21.8.10",No.26(122)
阿含部類,阿含部上,1,1,65,65,0,,863,1,1,伏婬經,,西晉 法炬譯,680,19,,,,"縮-昃8,卍-14.1,南-22下.10.91",No.26(126)
阿含部類,阿含部上,1,1,66,66,0,,864,1,1,魔嬈亂經,,失譯,694,19,,,,"縮-昃8,卍-14.1,南-10.50","Nos.26(131),67"
阿含部類,阿含部上,1,1,67,67,0,,867,1,1,弊魔試目連經,,吳 支謙譯,667,19,,,,"縮-昃8,卍-14.1,南-10.50","Nos.26(131),66"
阿含部類,阿含部上,1,1,68,68,0,,868,1,1,賴吒和羅經,,吳 支謙譯,720,19,,,,"縮-昃8,卍-14.2,南-11上.82","Nos.26(132),69"
阿含部類,阿含部上,1,1,69,69,0,,872,1,1,護國經,,宋 法賢譯,1255,34,,,,"縮-昃8,卍-15.7,南-11上.82","Nos.26(132),68"
阿含部類,阿含部上,1,1,70,70,0,,875,1,1,數經,,西晉 法炬譯,710,19,,,,"縮-昃8,卍-14.2,南-11上.107",No.26(144)
阿含部類,阿含部上,1,1,71,71,0,,876,1,1,梵志頞波羅延問種尊經,,東晉 竺曇無蘭譯,719,19,,,,"縮-昃8,卍-14.2南-11上.93",No.26(151)
阿含部類,阿含部上,1,1,72,72,0,,878,1,1,三歸五戒慈心厭離功德經,,失譯,700,19,,,,"縮-昃8,卍-14.2,南-22上.9.20","Nos.26(115),73,74,125(27.3)"
阿含部類,阿含部上,1,1,73,73,0,,879,1,1,須達經,,蕭齊 求那毘地譯,726,19,,,,"縮-昃8,卍-14.2,南22上.9.20","Nos.26(155),72,74,125(27.3)"
阿含部類,阿含部上,1,1,74,74,0,,880,1,1,長者施報經,,宋 法天譯,1181,34,,,,"縮-昃8,卍-15.4,南-22上.9.20","Nos.26(155),72,73,125(27.3)"
阿含部類,阿含部上,1,1,75,75,0,,882,1,1,佛為黃竹園老婆羅門說學經,,失譯,715,19,,,,"縮-昃8,卍-14.2,南-21.8.11",No.26(157)
阿含部類,阿含部上,1,1,76,76,0,,883,1,1,梵摩渝經,,吳 支謙譯,722,19,,,,"縮-昃8,卍-14.2,南-11上.91",No.26(161)
阿含部類,阿含部上,1,1,77,77,0,,886,1,1,尊上經,,西晉 竺法護譯,707,19,,,,"縮-昃8,卍-14.2,南-11下.134",No.26(166)
阿含部類,阿含部上,1,1,78,78,0,,887,1,1,兜調經,,失譯,701,19,,,,"縮-昃8,卍-14.2,南-11下.135","Nos.26(170),79,80,81"
阿含部類,阿含部上,1,1,79,79,0,,888,1,1,鸚鵡經,,劉宋 求那跋陀羅譯,695,19,,,,"縮-昃8,卍-14.2,南-11.135","Nos.26(170),78,80,81"
阿含部類,阿含部上,1,1,80,80,0,,891,1,1,佛為首迦長者說業報差別經,,隋 瞿曇法智譯,805,20,,,,"縮-宿6.卍-15.1,南-11下.135","Nos.26(170),78,79,81"
阿含部類,阿含部上,1,1,81,81,0,,895,2,2,分別善惡報應經,,宋 天息災譯,1098,33,,,,"縮-昃8,卍-15.2,南-11下.135","Nos.26(170),78,79,80"
阿含部類,阿含部上,1,1,82,82,0,,901,1,1,意經,,西晉 竺法護譯,706,19,,,,"縮-昃8,卍-14.2,南-18.4.186",No.26(172)
阿含部類,阿含部上,1,1,83,83,0,,902,1,1,應法經,,西晉 竺法護譯,709,19,,,,"縮-昃8,卍-14.2,南-10.46",No.26(175)
阿含部類,阿含部上,1,1,84,84,0,,903,1,1,分別布施經,,宋 施護譯,1411,40,,,,"縮-昃8,卍-15.7,南-11下.142",No.26(180)
阿含部類,阿含部上,1,1,85,85,0,,904,1,1,息諍因緣經,,宋 施護譯,1444,40,,,,"縮-昃8,卍-15.7,南-11上.104",No.26(196)
阿含部類,阿含部上,1,1,86,86,0,,907,1,1,泥犁經,,東晉 竺曇無蘭譯,712,19,,,,"縮-昃8,卍-14.1,南-11下.129",No.26(199)
阿含部類,阿含部上,1,1,87,87,0,,910,1,1,齋經,,吳 支謙譯,721,19,,,,"縮-昃8,卍-14.1,南-21.8.43","Nos.26(202),88,89"
阿含部類,阿含部上,1,1,88,88,0,,912,1,1,優陂夷墮舍迦經,,失譯,714,19,,,,"縮-昃8,卍-14.1,南-21.8.43","Nos.26(202),87,89"
阿含部類,阿含部上,1,1,89,89,0,,913,1,1,八關齋經,,劉宋 沮渠京聲譯,823,20,,,,"縮-昃8,卍-14.10,南-21.8.43","Nos.26(202),87,88"
阿含部類,阿含部上,1,1,90,90,0,,913,1,1,鞞摩肅經,,劉宋 求那跋陀羅譯,697,19,,,,"縮-昃8,卍-14.1,南-11上.80",No.26(209)
阿含部類,阿含部上,1,1,91,91,0,,915,1,1,婆羅門子命終愛念不離經,,後漢 安世高譯,703,19,,,,"縮-昃8,卍-14.1,南-11上.87","Nos.26(216),125(13.3)"
阿含部類,阿含部上,1,1,92,92,0,,916,1,1,十支居士八城人經,,後漢 安世高譯,704,19,,,,"縮-昃8,卍-14.1,南10.52",No.26(217)
阿含部類,阿含部上,1,1,93,93,0,,917,1,1,邪見經,,失譯,702,19,,,,"縮-昃8,卍-14.1,南-20.7.51",No.26(220)
阿含部類,阿含部上,1,1,94,94,0,,917,1,1,箭喻經,,失譯,698,19,,,,"縮-昃8,卍-14.1,南-10.63",No.26(221)
阿含部類,阿含部上,1,1,95,95,0,,918,1,1,蟻喻經,,宋 施護譯,1451,40,,,,"縮-宿8,卍-15.10,南-9.23",
阿含部類,阿含部上,1,1,96,96,0,,919,1,1,治意經,,失譯,999,30,,,,"縮-宿8,卍-26.6,南-11下.118",
阿含部類,阿含部上,1,1,97,97,0,,919,1,1,廣義法門經,,陳 真諦譯,725,19,,,,"縮-宿7,卍-14.1",No.98
阿含部類,阿含部上,1,1,98,98,0,,922,1,1,普法義經,,後漢 安世高譯,717,19,,,,"縮-宿7,卍-14.1",No.97
阿含部類,阿含部下,2,2,99,99,0,,1,50,50,雜阿含經,(1362經),劉宋 求那跋陀羅譯,650,18,,,,"縮-辰2-4,卍-13.5-7,南-12-16,國-阿1-3","一三六二經cf.Nos.19,38,51,61-63,100,102-124"
阿含部類,阿含部下,2,2,100,100,0,,374,16,16,別譯雜阿含經,(364經),失譯,651,19,,,,"縮-辰5,卍-13.9","三六四經No.99,cf.Nos.19,51,61-63,114-122"
阿含部類,阿含部下,2,2,101,101,0,,493,1,1,雜阿含經,(27經),失譯,745,19,,,,"縮-辰6,卍-13.10",二七經cf.No.111
阿含部類,阿含部下,2,2,102,102,0,,499,1,1,佛說五蘊皆空經,,唐 義淨譯,731,19,,,,"縮-辰6,卍-14.2,南-14.22.59","No.99(33,34)"
阿含部類,阿含部下,2,2,103,103,0,,500,1,1,佛說聖法印經,,西晉 竺法護譯,750,19,,,,"縮-辰6,卍-14.2","Nos.99(80),104"
阿含部類,阿含部下,2,2,104,104,0,,500,1,1,佛說法印經,,宋 施護譯,1407,40,,,,"縮-辰6,卍-15.7","Nos.99(80),103"
阿含部類,阿含部下,2,2,105,105,0,,501,1,1,五陰譬喻經,,後漢 安世高譯,743,19,,,,"縮-辰6,卍-14.2,南-14.22.95","Nos.99(265),106"
阿含部類,阿含部下,2,2,106,106,0,,501,1,1,佛說水沫所漂經,,東晉 竺曇無蘭譯,733,19,,,,"縮-辰6,卍-14.2南-14.22,95","Nos.99(265),105"
阿含部類,阿含部下,2,2,107,107,0,,502,1,1,佛說不自守意經,,吳 支謙譯,737,19,,,,"縮-辰6,卍-14.2,南-15.35.97",No.99(277)
阿含部類,阿含部下,2,2,108,108,0,,502,1,1,佛說滿願子經,,失譯,755,19,,,,"縮-辰6,卍-14.2,南-15.35,88",No.99(311)
阿含部類,阿含部下,2,2,109,109,0,,503,1,1,佛說轉法輪經,,後漢 安世高譯,741,19,,,,"縮-辰6,卍-14.2,南-16下.56.11-12","Nos.99(379),110"
阿含部類,阿含部下,2,2,110,110,0,,504,1,1,佛說三轉法輪經,,唐 義淨譯,730,19,,,,"縮-辰6,卍-14.2,南-16下.56.11-12","Nos.99(379),109"
阿含部類,阿含部下,2,2,111,111,0,,504,1,1,佛說相應相可經,,西晉 法炬譯,729,19,,,,"縮-辰6,卍-14.3,南-13.14.12,13.14.21-24","Nos.99(449,450),101(20)"
阿含部類,阿含部下,2,2,112,112,0,,504,1,1,佛說八正道經,,後漢 安世高譯,742,19,,,,"縮-辰6,卍-14.3","No.99(784,785)"
阿含部類,阿含部下,2,2,113,113,0,,505,1,1,佛說難提釋經,,西晉 法炬譯,728,19,,,,"縮-辰6,卍-14.3",No.99(857)
阿含部類,阿含部下,2,2,114,114,0,,506,1,1,佛說馬有三相經,,後漢 支曜譯,757,19,,,,"縮-辰6,卍-14.3,南-17.3.94-96","Nos.99(920),100(146)"
阿含部類,阿含部下,2,2,115,115,0,,507,1,1,佛說馬有八態譬人經,,後漢 支曜譯,752,19,,,,"縮-辰6,卍-14.3,南-21.8.14","Nos.99(924),100,149"
阿含部類,阿含部下,2,2,116,116,0,,507,1,1,佛說戒德香經,,東晉 竺曇無蘭譯,713,19,,,,"縮-辰6,卍-14.1,南-17.3.79","Nos.99(1073),100(12),117,125(23.5)"
阿含部類,阿含部下,2,2,117,117,0,,508,1,1,佛說戒香經,,宋 法賢譯,1240,34,,,,"縮-辰6,卍-15.5,南-17.3.79","Nos.99(1073),100(12),116,125,(23.5)"
阿含部類,阿含部下,2,2,118,118,0,,508,1,1,佛說鴦掘摩經,,西晉 竺法護譯,708,19,,,,"縮-昃4,卍-14.2,南-11上.86","Nos.99(1077),100(16),125(38.6),119,120"
阿含部類,阿含部下,2,2,119,119,0,,510,1,1,佛說鴦崛髻經,,西晉 法炬譯,727,19,,,,"縮-昃4,卍-14.2,南-11上.86","Nos.99(1077),100(16),118,120,125(38.6)"
阿含部類,阿含部下,2,2,120,120,0,,512,4,4,央掘魔羅經,,劉宋 求那跋陀羅譯,410,13,,,,"縮-黃10,卍-12.1,南-11上.86","Nos.99(1077),100(16),118,119,125(38.6)"
阿含部類,阿含部下,2,2,121,121,0,,544,1,1,佛說月喻經,,宋 施護譯,1447,40,,,,"縮-宿8,卍-15.7,南-13.16.3","Nos.99(1136),100(111)"
阿含部類,阿含部下,2,2,122,122,0,,545,1,1,佛說波斯匿王太后崩塵土坌身經,,西晉 法炬譯,711,19,,,,"縮-昃4,卍-14.2,南-12.3.22","Nos.99(1227),100(54),125(26.7)"
阿含部類,阿含部下,2,2,123,123,0,,546,1,1,佛說放牛經,,後秦 鳩摩羅什譯,746,19,,,,"縮-昃4,卍-14.2,南-9.33-34","Nos.99(1248),124,125(49.1)"
阿含部類,阿含部下,2,2,124,124,0,,547,1,1,緣起經,,唐 玄奘譯,736,19,,,,"縮-昃4,卍-14.2,南-9.34","Nos.99(1248),123,125(49.1)"
阿含部類,阿含部下,2,2,125,125,0,,549,51,51,增壹阿含經,,東晉 瞿曇僧伽提婆譯,649,18,,,,"縮-昃1-3,卍-13.2-4,南-17-22,國-阿8-10","cf.Nos.22,27-32,38,42,43,46,49,51,53,61-63,72-74,91,116-120,122-124,126-148"
阿含部類,阿含部下,2,2,126,126,0,,831,1,1,佛說阿羅漢具德經,,宋 法賢譯,1229,34,,,,"縮-昃4,卍-15.5,南-17.1.20.93-102,17.1.14",No.125(2-7)
阿含部類,阿含部下,2,2,127,127,0,,834,1,1,佛說四人出現世間經,,劉宋 求那跋陀羅譯,696,19,,,,"縮-昃4,卍-14.1,南-12.3.21",No.125(26.5)
阿含部類,阿含部下,2,2,0128a,128,0,a,835,1,1,須摩提女經,,吳 支謙譯,723,19,,,,"縮-昃4,卍-14.2","Nos.125(30.3),129,130"
阿含部類,阿含部下,2,2,0128b,128,1,b,837,1,1,須摩提女經,,吳 支謙譯,723,19,,,,,
阿含部類,阿含部下,2,2,129,129,0,,843,1,1,佛說三摩竭經,,吳 竺律炎譯,790,19,,,,"縮-昃4,卍-14.2","Nos.125(30.3),128,130"
阿含部類,阿含部下,2,2,130,130,0,,845,3,3,佛說給孤長者女得度因緣經,,宋 施護譯,1428,40,,,,"縮-昃4,卍-15.7","Nos.125(30.3),128,129"
阿含部類,阿含部下,2,2,131,131,0,,854,1,1,佛說婆羅門避死經,,後漢 安世高譯,705,19,,,,縮-昃4.卍-14.2,No.125(31.4)
阿含部類,阿含部下,2,2,0132a,132,0,a,854,1,1,佛說食施獲五福報經,,失譯,699,19,,,,縮-昃4.卍-14.2,No.125(22.11)
阿含部類,阿含部下,2,2,0132b,132,1,b,855,1,1,施食獲五福報經,,失譯,699,19,,,,,
阿含部類,阿含部下,2,2,133,133,0,,855,1,1,頻毘娑羅王詣佛供養經,,西晉 法炬譯,716,19,,,,縮-昃4.卍-14.2,No.125(34.5)
阿含部類,阿含部下,2,2,134,134,0,,857,1,1,佛說長者子六過出家經,,劉宋 慧簡譯,724,19,,,,縮-昃4.卍-14.2,No.125(35.10)
阿含部類,阿含部下,2,2,135,135,0,,857,1,1,佛說力士移山經,,西晉 竺法護譯,749,19,,,,"縮-昃4,卍-14.2,南-7.16.4-5","Nos.125(42.3),136"
阿含部類,阿含部下,2,2,136,136,0,,859,1,1,佛說四未曾有法經,,西晉 竺法護譯,748,19,,,,"縮-昃4,卍-14.2,南-7.16.4-5","Nos.125(42.3),135"
阿含部類,阿含部下,2,2,137,137,0,,860,1,1,舍利弗摩訶目連遊四衢經,,後漢 康孟詳譯,751,19,,,,"縮-昃4.卍-14.2,南-10.67",No.125(45.2)
阿含部類,阿含部下,2,2,138,138,0,,861,1,1,佛說十一想思念如來經,,劉宋 求那跋陀羅譯,756,19,,,,"縮-昃4.卍-14.2,南-22下.11.16",No.125(49.10)
阿含部類,阿含部下,2,2,139,139,0,,861,1,1,佛說四泥犁經,,東晉 竺曇無蘭譯,732,19,,,,"縮-昃4,卍-14.2",No.125(50.5)
阿含部類,阿含部下,2,2,140,140,0,,862,1,1,阿那邠邸化七子經,,後漢 安世高譯,739,19,,,"註:書前目錄為「阿那邠邱化七子經」,但經文中皆為「阿那邠邸」,「邱」字應為「邸」字之誤.","縮-昃4,卍-14.2",No.125(51.7)
阿含部類,阿含部下,2,2,141,141,0,,863,1,1,佛說阿[這-言+欶]達經,,劉宋 求那跋陀羅譯,774,19,,,,"縮-昃4,卍-14.2,南-20.7.59","Nos.125(51.9),142,143"
阿含部類,阿含部下,2,2,0142a,142,0,a,863,1,1,佛說玉耶女經,,失譯,772,19,,,,"縮-昃4,卍-14.2,南-20.7.59","Nos.125(51.9),141,143"
阿含部類,阿含部下,2,2,0142b,142,1,b,864,1,1,玉耶女經,,失譯,772,19,,,,,
阿含部類,阿含部下,2,2,143,143,0,,865,1,1,玉耶經,,東晉 竺曇無蘭譯,771,19,,,,"縮-昃4,卍-14.2,南-20.7.59","Nos.125(51.9),141,142"
阿含部類,阿含部下,2,2,144,144,0,,867,1,1,佛說大愛道般泥洹經,,西晉 白法祖譯,754,19,,,,"縮-昃4,卍-14.2","Nos.125(52.1),145"
阿含部類,阿含部下,2,2,145,145,0,,869,1,1,佛母般泥洹經,,劉宋 慧簡譯,753,19,,,,"縮-昃4,卍-14.2","Nos.125(52.1),144"
阿含部類,阿含部下,2,2,146,146,0,,870,1,1,舍衛國王夢見十事經,,失譯,734,19,,,,"縮-昃4,卍-14.2","Nos.125(52.9),147,148"
阿含部類,阿含部下,2,2,147,147,0,,872,1,1,佛說舍衛國王十夢經,,失譯,735,19,,,,"縮-昃4,續-1.1.4","Nos.125(52.9),147,148"
阿含部類,阿含部下,2,2,148,148,0,,873,1,1,國王不梨先泥十夢經,,東晉 竺曇無蘭譯,758,19,,,,縮-昃4,"Nos.125(52.9),146,147"
