ལ་སོགས་པའི་སྐྱོན་བསལ་ལ། སྨན་ལྔ་དང་	c #་, p ནི་, d , n ནི་	རིན་པོ་ཆེ་ལྔ་དང་འབྲུ་ལྔ་བླུགས་ལ་དྲི་			automatic__spelling_mistake__nga_da					c p=n d 0.24%	c (1), དང(18517), རིན་པོ་ཆེ(119)p ནི(44237), དང་ནི(6235), ནི་རིན་པོ་ཆེ(218)d (1), དང(18517), རིན་པོ་ཆེ(119), དང་རིན་པོ་ཆེ(140)n ནི(44237), དང་ནི(6235), ནི་རིན་པོ་ཆེ(218)	29
དཀྱིལ་འཁོར་བསྐུལ་བའི་ཕྱིར་ནམ་མཁའ་ལ་གདབ་པའི་	c སྐུད་པ་, p སྐུད་པ་, d སྐུད་པ་, n #བསྐུད་པ་	པ་དང་ཚོན་གྱིས་དཀྱིལ་འཁོར་བྲི་བའི་ཕྱིར་ས་			automatic__spelling_mistake__non_word__well_formed					c=p=d n 2.59%	c སྐུད་པ(556), སྐུད་པ་དང(64)p སྐུད་པ(556), སྐུད་པ་དང(64)d སྐུད་པ(556), སྐུད་པ་དང(64)n 	119
སྣམ་བུ་བཞི་བཞིར་འགྱུར་ཏེ། དེས་ཆ་ཕྲན་	c བརྒྱད་ཅུ ར་, p བརྒྱ་ #ཅུར་, d བརྒྱད་ཅུ ར་, n བརྒྱ་ #ཅུར་	ཅུར་འགྱུར་རོ། །དེ་བཞིན་དུ་ཚངས་ཐིག་གཉིས་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c བརྒྱད་ཅུར(86)p d བརྒྱད་ཅུར(86)n 	137
བར་བྱའོ། །དེ་ལ་ར་བའི་ཚོན་སྣ་ལྔ་	c དང་ #འགྲམ་ གྱི་, p , d དང་ #འགྲམ་ གྱི་, n 	སྒོ་དང་འབྲེལ་པ་ཕྱིའི་སྒོའི་ནང་དང་སྒོ་ཁྱུད་ཀྱིས་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p (1), ལྔ(497), ཚོན(2)d n (1), ལྔ(497), ཚོན(2)	151
པ་ལ་གར་མཁན་གྱི་ལྷ་མོ་མཆོད་པས་ཕྱག་	c #བྲེལ་པ་, p འབྲེལ་པ་, d #བྲེལ་པ་, n འབྲེལ་པ་	པ་རྣམས་སོ། །གསུམ་པ་ལ་ནི་རིན་ཆེན་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p འབྲེལ་པ(891)d n འབྲེལ་པ(891)	154
ལས་ཆུའི་དཀྱིལ་འཁོར་ཟླུམ་པོ་བུམ་པས་མཚན་པ་	c ལྟེ་བ ར་, p #ལྟོ་ བར་, d ལྟེ་བ ར་, n #ལྟོ་ བར་	བར་བསམ། ཡཾ་ཡོངས་སུ་གྱུར་པ་ལས་རླུང་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ལྟེ་བར(382)p ལྟོ་བར(44)d ལྟེ་བར(382)n ལྟོ་བར(44)	207
པ་ཡི་ངོ་བོ་ཉིད། །ཕྱོགས་བཅུ་དུས་གསུམ་	c བཞུགས་པ་, p བཞུགས་པ་, d བཞུགས་པ་, n #བཞུག་པ་	པ་སྟེ། །རང་གི་ལྷ་ཡི་སྦྱོར་བ་ཡིས			automatic__spelling_mistake__non_word__well_formed					c=p=d n 2.59%	c བཞུགས་པ(298)p བཞུགས་པ(298)d བཞུགས་པ(298)n 	256
འཁོར་ལོ་ལ་སོགས་པ་རྒྱལ་སྲིད་སྣ་བདུན་དང་། གཟུགས་	c #སྡུ་, p སྡུག་, d #སྡུ་, n སྡུག་	གུའི་བྱེ་བྲག་སྣ་ཚོགས་དང་། སྒྲ་སྙན་པའི་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c སྡུ(24)p སྡུག(109), གཟུགས་སྡུག(139)d སྡུ(24)n སྡུག(109), གཟུགས་སྡུག(139)	294
ཕྱུང་བས། །མ་ལུས་རྒྱལ་བ་རྣམས་ནི་ལུས་	c བསྐམས་, p #སྐམས་, d བསྐམས་, n #སྐམས་	ལ། །རྣམ་དག་རྡོ་རྗེ་ལས་བྱུང་ཡེ་ཤེས་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c བསྐམས(71)p སྐམས(20)d བསྐམས(71)n སྐམས(20)	301
བདེ་གཤེགས་བཀའ་ལས་འདས་པ་དང་། །སྡང་བས་	c #སྤུན་ གྱིས་, p ཡུན་ གྱི་, d #སྤུན་ གྱིས་, n ཡུན་ གྱི་	བསྔགས་མིན་སྨྲ། །བྱམས་པ་ཆེན་པོ་རྣམ་སྤོང་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p d n 	319
ཤུ་ཟབས་སུ་དེའི་ཕྱེད་དོ། །དེ་དག་ཀྱང་	c གྲུ་, p #གྲྭ་, d གྲུ་, n #གྲྭ་	བཞི་སྒོ་བཞི་དང་ལྡན་པ། གྲྭ་བཞིར་ཟླ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c གྲུ(15), གྲུ་བཞི(654)p གྲྭ(2), གྲྭ་བཞི(80)d གྲུ(15), གྲུ་བཞི(654)n གྲྭ(2), གྲྭ་བཞི(80)	336
བཞིར་ལྕགས་ཀྱུ་ལ་སོགས་པའི་ཕྱག་རྒྱ་བཞིས་མཚན་	c མཚན་པ་ #ཐབ་ ཀྱི་ དབུས་, p མཚན་ ཐབས་ ཀྱི་ དབུས་ ཀྱི་, d མཚན་པ་ #ཐབ་ ཀྱི་ དབུས་, n མཚན་ ཐབས་ ཀྱི་ དབུས་ ཀྱི་	ཁ་ཁྱེར་ལ་ཡང་ཞི་བ་ལ་ནི་འཁོར་ལོ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p d n 	339
གང་སྲིད་ཁྲུ་གང་བྱའོ། །དབང་ལ་ནི་ཨ་	c #ཤྭ་, p ཤོ་, d #ཤྭ་, n ཤོ་	ཀ་དང་བྲི་ཡང་ཀུ་ལ་སོགས་པའི་ཤིང་ལ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ཤྭ(24)p ཤོ(7), ཨ་ཤོ(86), ཤོ་ཀ(59), ཨ་ཤོ་ཀ(48)d ཤྭ(24)n ཤོ(7), ཨ་ཤོ(86), ཤོ་ཀ(59), ཨ་ཤོ་ཀ(48)	347
མེ་ཏོག་གིས་སོ། །དགུག་པ་ལ་ནི་བ་	c ལང་ གི་ ཤ་ ཡིས་, p ཕ་ #ཝང་ གིས་ ཤ ས་, d ལང་ གི་ ཤ་ ཡིས་, n ཕ་ #ཝང་ གིས་ ཤ ས་	སོ། །མངོན་སྤྱོད་ལ་ནི་ཤ་ཆེན་གྱིས་སོ			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p d n 	349
། །རྒྱས་པ་ལ་ནི་ཀུ་ཤའི་སྟན་རྒྱ་དང་	c #དཔངས་, p སྤངས་, d #དཔངས་, n སྤངས་	སུ་ཁྲུ་གང་སོར་བཞི་པའོ། །དབང་ལ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c དཔངས(45)p སྤངས(803)d དཔངས(45)n སྤངས(803)	355
ཁ་ཁྱེར་ལ་རྡོ་རྗེ་ཕྲེང་བས་བསྐོར་རོ། །	c #གྲྭ་, p གྲུ་, d #གྲྭ་, n གྲུ་	བཞིར་རྡོ་རྗེ་བཞིས་བརྒྱན་པས་ཐབ་ཁུང་ཉིད་སྣ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c གྲྭ(2), །_།གྲྭ(126), གྲྭ་བཞི(80)p གྲུ(15), །_།གྲུ(393), གྲུ་བཞི(654), །_།གྲུ་བཞི(179)d གྲྭ(2), །_།གྲྭ(126), གྲྭ་བཞི(80)n གྲུ(15), །_།གྲུ(393), གྲུ་བཞི(654), །_།གྲུ་བཞི(179)	366
ལས་ཐམས་ཅད་པའི་མེ་ལྷ་ནི་ལྔ་པ་མི་	c #ཏ་, p ལྟ་, d #ཏ་, n ལྟ་	ཞེས་བྱ་བ་ཡིན་ཏེ་ལས་དང་རྗེས་སུ་མཐུན་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ཏ(1094), མི་ཏ(272)p ལྟ(472), མི་ལྟ(62)d ཏ(1094), མི་ཏ(272)n ལྟ(472), མི་ལྟ(62)	368
བཞི་ཟབས་སུ་སོར་གཉིས་བླུགས་གཟར་རྒྱར་སོར་བཞི་	c #ཟབས་ སུ་ སོ ར་ གཉིས་ མཆུ་ ལ་, p , d #ཟབས་ སུ་ སོ ར་ གཉིས་ མཆུ་ ལ་, n 	རིན་པོ་ཆེའམ་པདྨའི་དབྱིབས་སུ་བྱས་པའི་དཀྱིལ་དུ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p (1), སོ(40406), བཞི(541)d n (1), སོ(40406), བཞི(541)	375
སྭཱ་ཏཱ། འབྲས་ཀྱིའོ། །ཨོཾ་བཛྲ་གྷ་སྨར་	c #ཡེ་, p རི་, d #ཡེ་, n རི་	སྭཱ་ཧཱ། གྲོའིའོ། །ཨོཾ་བཛྲ་ཨ་ཛྙ་ཡ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ཡེ(585), ཡེ་སྭཱ(388)p རི(1446), རི་སྭཱ(122)d ཡེ(585), ཡེ་སྭཱ(388)n རི(1446), རི་སྭཱ(122)	379
། ཨུ་དུམྺཱཱ་རའིའོ། །ཨོཾ་བོ་དྷི་[བྲྀ]་ཀྵ་	c #ཡ་, p #ཡེ་, d #ཡ་, n #ཡེ་	སྭཱ་ཧཱ། ཨ་ཤྭ་དྠའི་འོ། །ཨོཾ་བཛྲ་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c ཡ(7515), ཡ་སྭཱ(1145)p ཡེ(585), ཡེ་སྭཱ(388)d ཡ(7515), ཡ་སྭཱ(1145)n ཡེ(585), ཡེ་སྭཱ(388)	382
ལ་ནི་བཽ་ཥཊ་ཧེའི་མཐའ་དང་བཅས་པའོ། །དབང་ལ་	c ནི་ ནམ་ #ཧིའི་, p མ་ ནི་ #ཧྲིའི་, d ནི་ ནམ་ #ཧིའི་, n མ་ ནི་ #ཧྲིའི་	མཐའ་དང་བཅས་པའོ། །དགུག་པ་ལ་ནི་ཛའི་			automatic__spelling_mistake__non_word__well_formed					c=d p=n 90.59%	c p d n 	388
